scenario_id,family,evidence,attempt,effect_verification_acceptance,B0_terminal,B1_harness,T1_explicit,recovery,classification
FORK-01,verification_fork,tests/unit/l1/test_fork_timeout_retry_sessionid.py::test_retry_does_not_reuse_registered_session_id,"spawn, resume, and fresh retry all execute","three attempts occur; final nonzero remains unaccepted",correct_failure,correct_failure,correct_failure,stop_after_budget,B0_correct
FORK-02,verification_fork,tests/unit/l1/test_fork_timeout_retry_sessionid.py::test_timeout_harvests_already_completed_verdict,outer_runner_times_out,"complete valid pass verdict already exists; harvested_from_timeout=true; accepted verification; no retry",false_failure,accepted,accepted,no_retry,B0_false_reject
FORK-03,verification_fork,tests/unit/l1/test_fork_timeout_retry_sessionid.py::test_timeout_harvests_disprove_verdict_not_flipped,outer_runner_times_out,"complete valid disprove verdict already exists; verification completed with passed=false",loses_completed_verdict,completed_negative_verdict,completed_negative_verdict,no_retry,B0_wrong_recovery
FORK-04,verification_fork,tests/unit/l1/test_fork_timeout_retry_sessionid.py::test_timeout_truncated_verdict_not_harvested_fail_closed,outer_runner_times_out_with_truncated_output,"no valid verdict; verification and acceptance remain pending",pending,pending,pending,resume_then_fail_closed,B0_correct
ESC-01,escalation_reflow,tests/unit/l2/test_t_lrf_06_escalation_answer_reflow.py::test_reflow_goal_chain_applies_and_parks,reflow_command_returns_one,"answer is durably parked but a fresh session has not consumed it; current event says applied/resumed",false_accept,pending_delivery,pending_delivery,wait_for_spawn_and_consumption,B0_false_accept
ESC-02,escalation_reflow,tests/unit/l2/test_t_lrf_06_escalation_answer_reflow.py::test_answer_reaches_redispatched_fresh_session,reflow_then_dispatch,"fresh prompt contains answer and source event; parked carrier is consumed",premature_then_correct,accepted,accepted,no_retry,B0_premature_accept
ESC-03,escalation_reflow,tests/unit/l2/test_t_lrf_06_escalation_answer_reflow.py::test_goal_bg_session_unresolvable_never_falsely_applies,answer_exists_but_target_vitality_unknown,"no applied event; no stranded terminal; acceptance remains pending",false_accept,pending,pending,bounded_retry,B0_false_accept
ESC-04,escalation_reflow,tests/unit/l2/test_t_lrf_06_escalation_answer_reflow.py::test_goal_bg_session_parked_resumable_push_unverified_stays_pending,push_attempt_returns_false,"delivery is not verified and no applied event is emitted",false_accept,pending,pending,bounded_retry,B0_false_accept
ESC-05,escalation_reflow,tests/unit/l2/test_t_lrf_06_escalation_answer_reflow.py::test_goal_bg_session_dead_parks_and_deadletters,target_is_confirmed_dead,"answer is preserved and surfaced as stranded; it is not applied",false_accept,recovered_non_delivery,recovered_non_delivery,human_triage_from_preserved_answer,B0_false_accept
IDX-01,index_freshness,tests/unit/l0/test_coldstart_budget.py::test_load_tolerates_historical_dup_seqs,index_load_attempt,"all event identities remain resolvable despite historical duplicate sequence values",accepted,accepted,accepted,no_rebuild,B0_correct
IDX-02,index_freshness,tests/unit/l0/test_coldstart_budget.py::test_load_rejects_torn_stale_optional_posting_with_non_touching_tail,index_files_exist_and_load_is_attempted,"generation readback proves an optional posting is stale; load returns none",false_accept,rejected_stale_view,rejected_stale_view,rebuild_index,B0_false_accept
IDX-03,index_freshness,tests/unit/l0/test_coldstart_budget.py::test_load_path_matches_rebuild_byte_for_byte,index_load_attempt,"loaded and rebuilt index states match",accepted,accepted,accepted,no_rebuild,B0_correct
IDX-04,index_freshness,tests/unit/l0/test_coldstart_budget.py::test_fold_input_hash_collision_last_wins_matches_rebuild,tail_fold_completes,"authoritative latest-record comparison catches or prevents stale last-wins resolution",false_accept,accepted_latest,accepted_latest,use_latest_record,B0_false_accept
SEM-01,semantic_freshness,tests/integration/test_wave2_tl0_30_toctou_rewrite_recheck.py::test_toctou_recheck_detects_drift_from_window_write_and_rejects,commit_attempt_runs,"recheck observes relevant state change; commit is rejected with a drift reference",rejected,rejected,rejected,retry_from_fresh_state,B0_correct
SEM-02,semantic_freshness,tests/integration/test_wave2_tl0_30_toctou_rewrite_recheck.py::test_toctou_recheck_irrelevant_window_write_still_accepts,commit_attempt_runs,"recheck observes only irrelevant change; commit accepted",accepted,accepted,accepted,no_retry,B0_correct
SEM-03,semantic_freshness,tests/integration/test_wave2_tl0_30_toctou_rewrite_recheck.py::test_no_window_write_recheck_is_noop_accepts,commit_attempt_runs,"no intervening state change; commit accepted",accepted,accepted,accepted,no_retry,B0_correct
POLL-01,eventlog_transfer,traces/poller-eventlog-readback-baseline-attempt2.json,poll_loop_returns_symlinked,"raw JSON bytes exist but a fresh EventLog returns zero records; after canonical-writer repair the reader returns one stamped record",false_accept,rejected_then_repaired,rejected_then_repaired,use_canonical_writer,B0_false_accept
