source_id,source_kind,catalog_record_id,authoritative_locator,sha256,readable_path,line_anchors,source_role,notes
SRC-PROBLEM-DEFINITION,ZIP_MEMBER,Z001094,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻协议 设计语料库 v1.5 终包.zip::towow-protocol-design-pack-v1/01-问题定义书_v1.0.md",2108128d0c98ad1349bb4061284ef48c67ac92601b04a5b51ab46bb05eebbf99,02_derived/zip-text-search-corpus/files/21/2108128d0c98ad1349bb4061284ef48c67ac92601b04a5b51ab46bb05eebbf99.md,"1-31;35-49;57-119;123-180",NATIVE_SOURCE,"初始问题、信号、关系生成、披露和中心到联邦阶段"
SRC-PROTOCOL-DESIGN,ZIP_MEMBER,Z001095,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻协议 设计语料库 v1.5 终包.zip::towow-protocol-design-pack-v1/02-总体设计书_v1.2.md",4a45ede13e689f6ad042541a929bfe00eaf67a021689327151bfe4f6974cb9a1,02_derived/zip-text-search-corpus/files/4a/4a45ede13e689f6ad042541a929bfe00eaf67a021689327151bfe4f6974cb9a1.md,"1-43;74-169",NATIVE_SOURCE,"HDC 到 NAC 修正、模块、假说与阶段设计"
SRC-NAC-SPEC,ZIP_MEMBER,Z001100,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻协议 设计语料库 v1.5 终包.zip::towow-protocol-design-pack-v1/07-IF-2_NAC信号格式规格.md",1bee81eadab65cd46822a8c1b049d207c3e4bcfe60aff1523182983f7658dd34,02_derived/zip-text-search-corpus/files/1b/1bee81eadab65cd46822a8c1b049d207c3e4bcfe60aff1523182983f7658dd34.md,"1-75;90-94",NATIVE_SOURCE,"NAC 分面、前缀披露、来源与预算"
SRC-TYPED-LEDGER,ZIP_MEMBER,Z001106,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻协议 设计语料库 v1.5 终包.zip::towow-protocol-design-pack-v1/13-B4-1_类型账本规格.md",4994dbdf15f34dc170f15e004bd658e6f6c20ba3c319fec79cda295d590fc24f,02_derived/zip-text-search-corpus/files/49/4994dbdf15f34dc170f15e004bd658e6f6c20ba3c319fec79cda295d590fc24f.md,"1-49",NATIVE_SOURCE,"候选、承诺和类型化账本的早期边界"
SRC-ROUND2-PAPER-I,ZIP_MEMBER,Z001036,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻_A2A_第二轮研究_完整研究包(1).zip::towow_round2_release/papers/论文I_从搜索到行动构成.md",e2777bd62c7b93319d3115d4ccf3e04047da4967ab8ec954377fdc455492448b,02_derived/zip-text-search-corpus/files/e2/e2777bd62c7b93319d3115d4ccf3e04047da4967ab8ec954377fdc455492448b.md,"1-20;250-275;490-520",NATIVE_SOURCE,"行动空间构成、BIC 和反例驱动生成"
SRC-ROUND2-PAPER-II,ZIP_MEMBER,Z001042,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻_A2A_第二轮研究_完整研究包(1).zip::towow_round2_release/papers/论文II_边界预言机生成式协调引擎.md",b623a1001de7684b6812fee6de4850a0c957b0db9cba68ab5f74589f1cc0e6f7,02_derived/zip-text-search-corpus/files/b6/b623a1001de7684b6812fee6de4850a0c957b0db9cba68ab5f74589f1cc0e6f7.md,"1-20;270-320;630-670",NATIVE_SOURCE,"Boundary Oracle、CEGIS 与引擎映射"
SRC-ROUND2-README,ZIP_MEMBER,Z001054,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/通爻_A2A_第二轮研究_完整研究包(1).zip::towow_round2_release/README.md",1cf7a4c1fc4a9814e56a0660f9bf574336e2899da1c96407c347c50c137e38d0,02_derived/zip-text-search-corpus/files/1c/1cf7a4c1fc4a9814e56a0660f9bf574336e2899da1c96407c347c50c137e38d0.md,"1-50",NATIVE_SUMMARY,"第二轮范围与证据边界"
SRC-R5-SUMMARY,ZIP_MEMBER,Z000835,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip::return-packet/RETURN_SUMMARY.md",b6ecd444e61d168547fba8ddbbc328587aa07a552e6296ca60678941e483587c,02_derived/zip-text-search-corpus/files/b6/b6ecd444e61d168547fba8ddbbc328587aa07a552e6296ca60678941e483587c.md,"1-120",NATIVE_EVIDENCE,"R5 本地现实运行总览"
SRC-R5-DECISION,ZIP_MEMBER,Z000831,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip::return-packet/DECISION_LOG.md",0e604288cbcc495c70af1028ff2904381d57dd4ee6a2b19318af330b8a66826e,02_derived/zip-text-search-corpus/files/0e/0e604288cbcc495c70af1028ff2904381d57dd4ee6a2b19318af330b8a66826e.md,"1-99",NATIVE_DECISION,"R5 实验前后设计决定"
SRC-R52-EFFECT,ZIP_MEMBER,Z001139,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_2_Harness_Reality_Transfer_Return_Packet_v1.1.zip::return-packet/experiments/r5-2-run-001-effect-reality/analysis.md",4d7087c58f96a463e730dbb84cc3b5d4be817efa237dad4bbc598978e3e61171,02_derived/zip-text-search-corpus/files/4d/4d7087c58f96a463e730dbb84cc3b5d4be817efa237dad4bbc598978e3e61171.md,"3-126",NATIVE_EVIDENCE,"10/17 终态误判、17/17 readback、反例与边界"
SRC-R52-PATCH,ZIP_MEMBER,Z001168,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_2_Harness_Reality_Transfer_Return_Packet_v1.1.zip::return-packet/CURRENT_SYSTEM_PATCH.md",37b396f539402433b0e5f2ad8f537cb44265b220d5d41e885de1b6935cde1012,02_derived/zip-text-search-corpus/files/37/37b396f539402433b0e5f2ad8f537cb44265b220d5d41e885de1b6935cde1012.md,"3-89",NATIVE_DECISION,"R5.2 对系统语义、权威顺序与能力绑定的补丁"
SRC-R52-CAPABILITY,ZIP_MEMBER,Z001156,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_2_Harness_Reality_Transfer_Return_Packet_v1.1.zip::return-packet/experiments/r5-2-run-002-capability-holdout/analysis.md",12bf20bc6fa0d7a9afc76f6cd9bd819723f55df4c2c9d6c73d2f04deec7385f9,02_derived/zip-text-search-corpus/files/12/12bf20bc6fa0d7a9afc76f6cd9bd819723f55df4c2c9d6c73d2f04deec7385f9.md,"3-97",NATIVE_EVIDENCE,"4/6 对 3/6、环境条件、holdout 与形成限制"
SRC-R54-CORE,ZIP_MEMBER,Z001530,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/r5_4_extracted/return-packet/CORE_A2A_EXPERIMENT.md",c39b566e7014c1e37968cd99ae446139966df056d6d57dd9069e9e5e40eccff0,02_derived/zip-text-search-corpus/files/c3/c39b566e7014c1e37968cd99ae446139966df056d6d57dd9069e9e5e40eccff0.md,"3-89",NATIVE_EVIDENCE,"真实模型规范细化但未签署、未补丁、未采用"
SRC-R54-CAUSALITY,ZIP_MEMBER,Z001533,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/r5_4_extracted/return-packet/FORMATION_CAUSALITY.md",882d3eedfa83a49040bc9130bac836230fbff23daf9669530537516750785751,02_derived/zip-text-search-corpus/files/88/882d3eedfa83a49040bc9130bac836230fbff23daf9669530537516750785751.md,"3-80",NATIVE_EVIDENCE,"既有缺陷、条件变化、消融和竞争解释"
SRC-R54-NET,ZIP_MEMBER,Z001531,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/r5_4_extracted/return-packet/ARCHITECTURE_AND_NET_VALUE.md",d740400b255b5eb27f417ae592144cd4a67d28830af5bebe4b80745535808109,02_derived/zip-text-search-corpus/files/d7/d740400b255b5eb27f417ae592144cd4a67d28830af5bebe4b80745535808109.md,"1-64",NATIVE_EVIDENCE,"中心与 A2A 架构及净价值边界"
SRC-R5C-SUMMARY,ZIP_MEMBER,Z001698,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/RETURN_SUMMARY.md",004142f8275b76a91ce5d9b994395d7bf843e5e5cf1f49654e4039fe4ff019bd,02_derived/zip-text-search-corpus/files/00/004142f8275b76a91ce5d9b994395d7bf843e5e5cf1f49654e4039fe4ff019bd.md,"3-100",NATIVE_EVIDENCE,"R5C 新可达路径、比较、限制和证据入口"
SRC-R5C-PATCH,ZIP_MEMBER,Z001657,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/CURRENT_SYSTEM_PATCH.md",b638b95098fa28c57f169fe30938c0552eae80da2373570066a2468decd2716d,02_derived/zip-text-search-corpus/files/b6/b638b95098fa28c57f169fe30938c0552eae80da2373570066a2468decd2716d.md,"1-53",NATIVE_DECISION,"R5C 对系统对象、运行和重开的补丁"
SRC-R5C-FORMATION,ZIP_MEMBER,Z001699,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/FORMATION_EPISODES/README.md",43e7bf31d3500210842c95bb8a35a4fffb861c7b2443a75d05b91566305d17b9,02_derived/zip-text-search-corpus/files/43/43e7bf31d3500210842c95bb8a35a4fffb861c7b2443a75d05b91566305d17b9.md,"1-27",NATIVE_EVIDENCE,"形成 episode 的前态、动作和后态"
SRC-R5C-METHOD,ZIP_MEMBER,Z001745,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/DESIGN_METHOD_RESULT.md",938949f5c145310b046381720f27aef8a36327d4ea7e73c75529f1ce3eaaa2d7,02_derived/zip-text-search-corpus/files/93/938949f5c145310b046381720f27aef8a36327d4ea7e73c75529f1ce3eaaa2d7.md,"3-79",NATIVE_EVIDENCE,"运行才可判别的设计选择、使用和停止条件"
SRC-R5C-ABLATION,ZIP_MEMBER,Z001740,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/BASELINES_AND_ABLATIONS.md",54656efe70b7fd1b94bc6ad5d0dfc4a51b61222845647b9e1d0961551ec8dbca,02_derived/zip-text-search-corpus/files/54/54656efe70b7fd1b94bc6ad5d0dfc4a51b61222845647b9e1d0961551ec8dbca.md,"3-38",NATIVE_EVIDENCE,"producer-only、wrong-authority 等消融及缺少匹配中心基线"
SRC-R5C-HOLDOUT,ZIP_MEMBER,Z001746,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/CAPABILITY_HOLDOUT.md",1af944f3d1af20562f836f13e38afee70b6ff21cc7da47a2d030a60eba05e91c,02_derived/zip-text-search-corpus/files/1a/1af944f3d1af20562f836f13e38afee70b6ff21cc7da47a2d030a60eba05e91c.md,"1-27",NATIVE_EVIDENCE,"held-out 只覆盖本地 adapter 的限制"
SRC-R5C-HUMAN,ZIP_MEMBER,Z001735,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip::Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/HUMAN_RECOGNITION_AND_VALUE.md",64f7a7c74327766165d6367faf65f59bfc66a54d88d768e471cd8af5c4907b28,02_derived/zip-text-search-corpus/files/64/64f7a7c74327766165d6367faf65f59bfc66a54d88d768e471cd8af5c4907b28.md,"1-23",NATIVE_NEGATIVE,"无人类 Principal、商业价值和真实认领证据"
SRC-HARNESS,ZIP_MEMBER,Z000818,"02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Flowness-Harness-Cognitive-Engineering-v0.1(1).zip::Flowness-Harness-Cognitive-Engineering-v0.1/Flowness-Harness-认知工程总文档-v0.1.md",31403fde5285ce077dc0601738d48bf56872406b14145684d8a6bf0395cda536,02_derived/zip-text-search-corpus/files/31/31403fde5285ce077dc0601738d48bf56872406b14145684d8a6bf0395cda536.md,"70-118;220-280;380-430;545-590;799-835;1250-1312;1455-1506;2714-2765;2970-3004",NATIVE_SOURCE,"Problem/Design/Engineering IR、上下文编译、证据闭合和执行"
SRC-V04-ONTOLOGY,PHYSICAL,P0127,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/theory/03_最小本体与概念收敛_v0.4.md,82f063338a2cc2eec7aa2858d6d85e74d857af449feb6f90ebcca65c8a7a1694,Towow_Complete_Research_Archive_v1.2_2026-07-27/02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/theory/03_最小本体与概念收敛_v0.4.md,"3-137;197-297",INTEGRATION_CHECKPOINT,"六 roots、事件封套、方法和派生视图映射"
SRC-V07-OPC,PHYSICAL,P0167,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7_release/theory/08_OPC_主权代理操作系统_v0.7.md,c4e558cd70dea7759c6f45778fd0616a5226447056e1a19e33e1819939687015,Towow_Complete_Research_Archive_v1.2_2026-07-27/02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7_release/theory/08_OPC_主权代理操作系统_v0.7.md,"3-145",INTEGRATION_CHECKPOINT,"OPC 范围、全流程、机制组合和六 roots"
SRC-V11-MONOGRAPH,PHYSICAL,P0185,02_WORKSPACE_SNAPSHOT/Towow_R8_OPC_Constructive_Closure_v1.1/paper/通爻_主权智能主体共同现实形成_正式论文_v1.1.md,42b3c6fa1da3a56ce07a20be6283d1efcfa4b15e9069b84d0634934067f86b6c,Towow_Complete_Research_Archive_v1.2_2026-07-27/02_WORKSPACE_SNAPSHOT/Towow_R8_OPC_Constructive_Closure_v1.1/paper/通爻_主权智能主体共同现实形成_正式论文_v1.1.md,"190-220;1700-1730;2810-2865;2970-3030",INTEGRATION_CHECKPOINT,"v1.1 累积式系统、可执行语义和多 Agent 角色"
