claim_id,claim,type,status,evidence,artifact,strength,limits,design_consequence
R5-C01,当前统一内核可以承载来自真实 OS 隔离 A2A 轨迹的目标、制品、主张、认领、承诺、效果、验证、接受和 dry-run 结算。,工程,支持,s007 主权轨迹映射为 33 个事件；哈希链有效；双验证器无发现。,results/integrated_trace/unified_sovereign_trace.json,较强的机制/工程证据,受控研究任务；自动主体认领；无生产写入、付款或法律效力。,保留一个权威事件内核；PFE/CRA/Solver 降为策略与 Pipeline。
R5-C02,不可绕过的主体边界可以在操作系统层实施，而不必只靠提示词声明。,工程,支持,三个 Linux 用户、文件权限探针、独立私钥和 canary；四类越权读取均被拒绝。,results/sovereign_combined/summary.json,当前实验内较强,同机 Linux 用户隔离，不等于跨组织网络、TEE 或敌对系统安全。,主权 A2A 实验必须使用 OS/容器/远程服务等强制边界。
R5-C03,静态能力描述会遗漏经条件形成后可完成的任务。,经验机制,初步支持,七场景中静态路径接受率 28.6%，主权形成路径 85.7%；形成 inch/mil 转换工具和冲突报告。,results/sovereign_combined/summary.json,初步现实机制证据,场景由研究者构造，样本小，Agent 为确定性脚本。,Agent Card/Capability Profile 只能作为发现索引，不能作为最终能力边界。
R5-C04,主权类型化 A2A 可以在协调器不读取双方私有目录时形成缺失条件并完成原始目标。,经验机制,初步支持,s007 经 MISSING_TOOL、工具安装 Witness、CONDITIONALLY_FEASIBLE、冲突报告后被私有政策接受。,results/sovereign_combined/traces.json,初步现实机制证据,单一任务族；公共形成目录准确；没有策略性欺骗。,保留类型化边界响应、Witness 和本地形成动作。
R5-C05,主权 A2A 并不免费优于中心化全知系统。,经验/决策,支持（当前任务内）,中心化平均运行成本 0.109、墙钟 0.547s；主权路径成本 4.972、墙钟 4.255s，接受率相同。,results/sovereign_combined/summary.json,当前任务内强,成本为声明研究单位；不包含法律、组织和商业隐私价值。,场景必须计算主权/边界价值的 break-even，不能默认采用分布式架构。
R5-C06,主权路径的独特价值来自不集中私有世界和责任可分离性，而不是 Agent 数量。,理论+机制,支持,主权与中心化覆盖率相同，但前者私有目录暴露率 0%，后者 100%；主权消息可分别归因。,results/sovereign_combined/summary.json,机制证据,尚未测量真实法律责任、组织信任或市场竞争价值。,将 A2A Reality Conditions 作为实验准入门，而非把多子调用称为 A2A。
R5-C07,协调通信量不能直接作为隐私泄漏量。,度量,支持,主权路径结构化消息字节更多，但私有目录暴露为 0；全量披露字节较少但暴露完整私有世界。,results/sovereign_combined/summary.json,当前实验内强,尚未计算边界转录的推断泄漏和重建攻击。,分别记录消息/制品字节、私有状态暴露、目的限制和可推断泄漏。
R5-C08,无安全形成算子时，保留 unresolved 比生成未经证实的能力更符合协议语义。,安全机制,支持（构造反例）,furlong 场景返回 no_safe_formation_operator，无伪工具、无虚假接受。,results/sovereign_combined/traces.json,明确的机制反例,尚未验证强模型是否会在开放环境中遵守该弃权边界。,UNKNOWN/UNRESOLVED 是一等状态，fallback 必须重入证据路径。
R5-C09,物质性目标重构不能继承原目标成功标签。,形式/机制,强支持,"50,000 个构造修订中，naive 路径原目标误报率 87.774%，谱系路径为 0。",results/goal_lineage/summary.json,强机制证据,比例来自构造分布，不是现实频率；尚无人类价值标注。,使用 ObjectiveVersion 谱系、价值保留、残余缺口和 continuation conditions。
R5-C10,单一加权目标保真分数可能掩盖关键价值维度跌破最低线。,度量,支持（构造反例）,"50,000 个构造修订中，11.48% 案例总分通过但至少一个关键维度不达最低保留线。",results/goal_lineage/summary.json,强机制证据,依赖构造权重与分布。,总保真度与关键维度最低约束必须同时存在。
R5-C11,CapabilityEnvelope 与 AssuranceCase 更适合作为由 Claim/Evidence 派生的视图，而非第二权威状态源。,架构,工程支持,统一内核从限定 Claim、Evidence、Assumption、Defeater 即时生成视图；真实轨迹无需独立 Envelope 状态。,towow_kernel/views.py,工程可行性证据,尚未在大型并发产品中评估生成成本、缓存和审计需求。,默认派生；只有出现不可接受的性能或签署语义需求时才物化快照。
R5-C12,PFE、CRA、SJAC、NAC/Benders 等不应各自维护正式事实。,架构,支持,同一真实轨迹可由一个内核承载；形成、求解、资格化输出均可表达为 Claim/Evidence/Artifact/Event。,docs/Towow_A2A_Current_System_v0.5.md,统一设计与工程证据,尚未迁入用户真实 Harness；可能存在尚未观察到的领域特定持久状态。,它们作为 Planner/Solver/Qualifier/Discovery Provider，权威写入必须经过内核。
R5-C13,Recognition 是对精确对象版本的规范动作，不能提供技术可靠性或自动生成权威。,制度语义,支持,统一内核 exact-hash recognition；Commitment 同时要求 Recognition、AuthorityGrant、Capability Claim。,towow_kernel/kernel.py,强工程不变量,当前由预授权自动主体执行，不证明人类知情理解。,保留 RecognitionAction，但人类理解需要单独实验与界面。
R5-C14,两个独立生命周期验证器可以对当前规范序列给出一致判定。,工程验证,支持（限定范围）,"50,000 条合法/强制非法轨迹，分歧、误接收、误拒绝均为 0。",results/conformance_stress/summary.json,当前生命周期规则内强,不验证语义正确性、授权真伪、业务价值或外部旁路。,继续双实现 conformance，并扩展到授权、认领、目标谱系和副作用。
R5-C15,当前实验没有验证强模型在主权边界下能否稳定产生安全形成算子。,边界,未验证,实验节点均为 deterministic-agent-v1；此前研究容器未接入用户真实本地模型与仓库。,baseline/FIRST_REALITY_CLOSURE.json,明确缺口,无真实模型实验。,本地现实轮应使用当前可用的真实模型/Agent节点，并以 hidden acceptance、holdout 和失败轨迹评价。
R5-C16,第五阶段第一现实闭环尚未在用户真实本地工作区和真实 Harness 仓库中复核。,环境事实,确认,此前证据来自研究容器、OS隔离实验室和参考实现；未包含用户真实 Git 工作区、AGENTS 约束、历史任务和本地 Agent 运行。,baseline/FIRST_REALITY_CLOSURE.json,明确边界,不代表本地工作区不可用；该事实必须由本地 Codex 直接调查。,先完成只读环境事实与 smoke，再在隔离分支/worktree 中开展真实研究。
R5-C17,当前七场景结果不足以证明通爻对真实商业任务产生净正价值。,边界,未验证,样本小、任务构造、成本单位非货币、无真实人类注意力和组织风险估值。,docs/Towow_A2A_Round5_Reality_Research.md,诚实边界,缺真实仓库与组织任务。,下一步用真实 Harness 任务记录 token、人工时间、等待、披露、返工、恢复和价值。
R5-C18,真实 A2A 的最低判别条件是边界、局部控制、拒绝权、隐藏状态隔离、独立归因和成本可见，而非固定节点数量。,定义/实验准入,当前最佳定义,该条件成功区分主权实验与中心化/全量披露基线。,docs/Towow_A2A_Current_System_v0.5.md,理论与机制支持,仍可能遗漏跨法律主体、策略性利益和网络敌对性。,将条件作为 test fixture conformance，而不是新增权威协议对象。
