duplicate_group,sha256,copy_count,members
D0001,0089a27fa64361159a84915507f7cf3f00b5f3f125ee331b664d4b090b4580b8,3,Z001227:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5.zip!/towow_a2a_r5_constructive_packet_v1.5/templates/DECISION_LOG.md || Z001670:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/INPUTS/templates/DECISION_LOG.md || Z002492:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5/towow_a2a_r5_constructive_packet_v1.5/templates/DECISION_LOG.md
D0002,0103f507d3fa7bb0e0123557f6e75c4c7be1f0b21293f25cc7919155c92d5b8d,2,Z000808:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Flowness-Harness-Cognitive-Engineering-v0.1(1).zip!/Flowness-Harness-Cognitive-Engineering-v0.1/06-Φ«íσêÆµëºΦíîσ«íµƒÑΣ┐«σñìΘù¡τÄ»ΦºäΦîâ.md || Z002424:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/06-Φ«íσêÆµëºΦíîσ«íµƒÑΣ┐«σñìΘù¡τÄ»ΦºäΦîâ.md
D0003,01158bf31777c099a0d2bdbfdaf51e7b57c02b36f5e8217650e7e9958d920afd,2,P0202:02_WORKSPACE_SNAPSHOT/Towow_v1.2_Decision_Program/Q2_Explainback_Probe/PROTOCOL.md || Z002639:02_WORKSPACE_SNAPSHOT/Towow_v1.2_Decision_Program.zip!/Towow_v1.2_Decision_Program/Q2_Explainback_Probe/PROTOCOL.md
D0004,018c168519c6b9affc7fda50bd62ef8befd4ef789403d5a9120513b5f44687ad,4,Z000075:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip!/Towow_A2A_Independent_Research_v0.4/real_world_protocol/03_案例筛选与招募脚本.md || Z000303:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/real_world_protocol/03_案例筛选与招募脚本.md || Z000618:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/real_world_protocol/03_案例筛选与招募脚本.md || Z000721:02_WORKSPACE_SNAPSHOT/Towow_A2A_R7_Field_Pack_v0.4.zip!/Towow_A2A_R7_Field_Pack_v0.4/real_world_protocol/03_案例筛选与招募脚本.md
D0005,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,6,Z000849:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-001-evidence-reachability/human_interventions.jsonl || Z000857:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-002-effect-granularity/human_interventions.jsonl || Z000891:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-003-action-space-claims/logs/docker_daemon_query.stdout.log || Z002253:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-003-action-space-claims/logs/docker_daemon_query.stdout.log || Z002258:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-001-evidence-reachability/human_interventions.jsonl || Z002266:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-002-effect-granularity/human_interventions.jsonl
D0006,01e51fc146474a2596ab2f05b781b4f02dacb007fb27e2333d5528ae245cb10b,2,Z001375:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.1/PRSE-OS_v0.1_方法论运行包.zip || Z001816:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/PRSE-OS_v0.1_µû╣µ│òΦ«║Φ┐ÉΦíîσîà.zip
D0007,033a814c72d1ffcd62f150044b58cbdeb3fd5754a89831ae1d7e990f7b0fa25e,2,Z000824:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Flowness-Harness-Cognitive-Engineering-v0.1(1).zip!/Flowness-Harness-Cognitive-Engineering-v0.1/11-σ«₧µû╜Φ╛╣τòîτëêµ£¼µ▓╗τÉåΣ╕ÄτöƒΣ║ºµ╝öΦ┐¢σÅîΦ╜¿.md || Z002433:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/11-σ«₧µû╜Φ╛╣τòîτëêµ£¼µ▓╗τÉåΣ╕ÄτöƒΣ║ºµ╝öΦ┐¢σÅîΦ╜¿.md
D0008,03871e3e409f9fdbd392066fcaed770ee655b68c3bc2ac89e132adf0fe1ec1dd,3,Z001223:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5.zip!/towow_a2a_r5_constructive_packet_v1.5/templates/RESEARCH_STATE.yaml || Z001669:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/INPUTS/templates/RESEARCH_STATE.yaml || Z002491:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5/towow_a2a_r5_constructive_packet_v1.5/templates/RESEARCH_STATE.yaml
D0009,03aa9997be629bf12f94b651fd29d4ec4e3d646d1fcc70beaf78a36f51b1d283,3,Z001384:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/04_methods/cards/interface_projection.md || Z001850:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/PRSE-OS_v0.1_µû╣µ│òΦ«║Φ┐ÉΦíîσîà.zip!/PRSE-OS_v0.1/04_methods/cards/interface_projection.md || Z001883:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/04_methods/cards/interface_projection.md
D0010,03b74050919f82af50a7130de63adf8be641e51ab0477fbc39f00bfc53c5d819,2,Z001252:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/02_DESIGN_PROCESS/02_problem_evolution.md || Z001788:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/02_DESIGN_PROCESS/02_problem_evolution.md
