record_id,source_path,source_sha256,heading_level,heading,line_start,line_end,phase,artifact_type
S000001,00_START_HERE/COVERAGE_AND_LIMITATIONS.md,3431768ba16986b9351e2ab76bb81571b33838450964ed3b7b7bd3308e6ac8b3,1,档案覆盖与限制,1,34,archive-orientation,text-source
S000002,00_START_HERE/COVERAGE_AND_LIMITATIONS.md,3431768ba16986b9351e2ab76bb81571b33838450964ed3b7b7bd3308e6ac8b3,2,已纳入,3,15,archive-orientation,text-source
S000003,00_START_HERE/COVERAGE_AND_LIMITATIONS.md,3431768ba16986b9351e2ab76bb81571b33838450964ed3b7b7bd3308e6ac8b3,2,无法声称的完整性,16,24,archive-orientation,text-source
S000004,00_START_HERE/COVERAGE_AND_LIMITATIONS.md,3431768ba16986b9351e2ab76bb81571b33838450964ed3b7b7bd3308e6ac8b3,2,QDR 限制,25,28,archive-orientation,text-source
S000005,00_START_HERE/COVERAGE_AND_LIMITATIONS.md,3431768ba16986b9351e2ab76bb81571b33838450964ed3b7b7bd3308e6ac8b3,2,版本身份,29,34,archive-orientation,text-source
S000006,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,1,当前研究状态,1,64,archive-orientation,text-source
S000007,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,2,1. 研究真正解决的问题,3,17,archive-orientation,text-source
S000008,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,2,2. 当前最稳固的结构,18,27,archive-orientation,text-source
S000009,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,2,3. 当前证据等级,28,45,archive-orientation,text-source
S000010,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,3,最强、真正改变设计的证据,30,36,archive-orientation,text-source
S000011,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,3,校准与实现证据,37,45,archive-orientation,text-source
S000012,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,2,4. 当前最可能的产品顺序（待 Q1 判别）,46,53,archive-orientation,text-source
S000013,00_START_HERE/CURRENT_RESEARCH_STATE.md,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,2,5. 立即停止的研究投入,54,64,archive-orientation,text-source
S000014,00_START_HERE/README.md,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,1,通爻完整研究档案 v1.2,1,46,archive-orientation,orientation
S000015,00_START_HERE/README.md,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,2,这是什么,6,16,archive-orientation,orientation
S000016,00_START_HERE/README.md,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,2,推荐阅读顺序,17,26,archive-orientation,orientation
S000017,00_START_HERE/README.md,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,2,当前研究身份,27,34,archive-orientation,orientation
S000018,00_START_HERE/README.md,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,2,当前最高优先级,35,41,archive-orientation,orientation
S000019,00_START_HERE/README.md,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,2,校验,42,46,archive-orientation,orientation
S000020,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,1,交互与矫正纪事,1,74,interaction-correction,interaction-or-review
S000021,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 0：开放式完整交接,5,12,interaction-correction,interaction-or-review
S000022,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 1：用户补充全局价值取向,13,18,interaction-correction,interaction-or-review
S000023,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 2：警惕概念增生与关系语法不可操作,19,24,interaction-correction,interaction-or-review
S000024,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 3：现实资源暂缺，转向公开过程证据,25,30,interaction-correction,interaction-or-review
S000025,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 4：聚焦超级个体与 OPC，但不窄化理论,31,36,interaction-correction,interaction-or-review
