历史概念,当前处置,当前身份,权威事实源,保留或调整理由,若错误会导致的失败
全局主体画像/Global Profile,降级,Discovery Provider 的静态投影,无；只产生候选 Claim,有限静态投影不能保留全部未来相关性,把未声明能力和新组合永久排除
NAC/多尺度锚点坐标,降级,可插拔语义发现算子,Discovery run 与版本化候选记录,在部分异构空间有用但不是协议本体,向量技术变化会改写社会事实
四动词 emit/quest/disclose/crystallize,保留为外观接口,SDK/交互 façade,其背后的正式对象与事件,易用但不足以表达完整生命周期,消息动词被误当作世界状态
Coordination Schema,保留并收束,共享协调语法的版本化对象,Schema version/event,真实跨域协调需要可演化共同语言,方案无法表达或不同实现互不兼容
JAA/Joint Action Arrangement,保留并并入 SharedArtifactVersion,候选联合行动安排,共享制品版本与签名/stance,是共同编辑和形成条件的主要介质,对话历史冒充共同事实
Boundary Oracle,泛化,主权边界交互策略,本地域 Claim/Evidence/Witness/Defeater,单一 cut/column 仅适用于部分可形式化世界,错误 hard cut 永久丢失可能性
PFE,降级为策略族,可能性形成与条件搜索策略,不维护正式事实；输出候选/试验/证据,形成能力是真实需求但不应产生第二套真相,策略输出被误写成正式能力
CRA,降级为 Pipeline,资格化/再认证/开放复核/消融/留出,Claim/Evidence/Defeater/Validity,资格化重要但不是独立社会实体,审计视图与权威状态漂移
CapabilityEnvelope,降级为派生视图,限定运行范围的能力视图,Capability Claim + Evidence + Scope,便于运行和审计但不应重复维护状态,包络和正式 Claim 不一致
AssuranceCase,降级为派生视图,审计和论证视图,Claim/Evidence/Assumption/Defeater,用于解释和复核,论证文本冒充实际证据
Compiled World,保留为派生运行界面,权威对象与事件的可操作投影,统一事件内核,可视化不应拥有事实,界面修改绕过权限和语义
软件系统 Principal,淘汰,SovereignDomain/AuthorityDomain,真正 Principal 的 AuthorityGrant,软件能控制技术状态但不拥有人的价值与责任,技术采用被冒充为人类认领
Principal,保留,最终价值/责任/拒绝/接受主体,身份和不可委托权威,社会协作必须有责任锚点,Agent 或平台冒领人的意图
AgentExecution,保留,一次可归因的智能执行实例,Execution identity + AuthorityGrant,模型可替换且执行必须可追踪,人格化 Agent 名称掩盖实际责任
AuthorityGrant,保留,限定行动/对象/目的/期限的授权,Principal/domain authority ledger,概率智能不能创造权力,高置信输出越权
ObjectiveVersion,保留,原始目标与物质性修订谱系,目标版本与 Recognition,防止目标降级制造成功,小任务完成被包装为原需求完成
SharedArtifactVersion,保留,候选方案/JAA/合同草稿/边界合同的版本化共享对象,版本哈希和作者/stance,协调需要共同可编辑介质,对话中的不同版本被误认同一对象
Claim,保留,关于世界或能力的限定主张,issuer+scope+validity+status,事实必须可反驳和限定,模型语言被当成事实
Evidence,保留,支持或反驳 Claim 的可搬迁证据,hash+reference+schema+replay,checksum 不是完整证据闭合,文件存在却无法解释/重放
WitnessPolicy,保留,主张相关的证据和接受规则,Claim type/domain policy,证据强度不是全局排序,日志或 readback 代答业务接受
Defeater,保留,可推翻/降级 Claim 的条件,Defeater registry/event,非平稳世界中证书必须可失效,旧成功永久有效
RecognitionAction,保留,主体对精确版本/范围的理解与认领,Principal signature/action,模型预测不能代替主体意图,自动 UI 点击被当作同意
Commitment,保留,主体间具有义务语义的正式承诺,recognized version + authority + obligations,候选计划与责任必须分离,草稿直接进入生产
ResourceReservation,保留,稀缺资源/容量的可执行占用,resource ledger,能力与容量不同,超额承诺
LogicalActionKey,保留,同一现实意图的稳定身份,objective+authority+target+operation+epoch,重试和现实动作必须区分,重复副作用或重复计费
ActionAttempt,保留,一次具体物理尝试,attempt id+executor+input+boundary+outcome,工具调用和 Effect 不是一回事,最后退出码掩盖中间失败
Effect,保留,目标世界中实际发生的状态变化,authoritative readback/event,自述成功不能证明现实变化,幻觉式完成
DomainAdoptionReceipt,保留为技术域事实,目标域正式采纳记录,target domain canonical state,传输不等于采纳,来源方冒充接收方
Verification,保留,按照明示规则核验事实/效果,Verifier + WitnessPolicy,技术验证不等于业务接受,测试通过被当作价值完成
Acceptance,保留,有权主体对目标价值的接受,Principal/domain acceptance authority,业务价值不能由验证器代答,无效或无价值结果结算
Settlement/Dispute,保留,承诺履约后的效力与争议状态,trust/effect adapter and authoritative events,现实责任需要结算与救济,技术完成后责任悬空
WoWok,外部适配,下游可编程信任/确定性执行/结算基础设施,TrustExecutionAdapter,不是通爻竞争协议也不应锁定上游理论,上游协调被某一链上对象模型绑死
Adaptive sovereign formation → compiled execution,保留为候选架构,形成阶段策略与运行期优化,当前技术域 scoped evidence,一个局部实例支持但无 matched central formation,过早固化为普遍架构
Authority-first countercondition reduction,降级为候选形成策略,PFE/CEGIS/协商/资格化的组合政策,formation episode records,局部跨域实验有机制证据,被误升级为通用算法
