claim_id,claim,chief_status,evidence_strength,guarantee_boundary,design_consequence,remaining_unknown
C-01,来源方完成不能证明消费者采用,supported,strong_local_mechanism,Allbuddy synthetic consumer,分离 producer completion 与 DomainAdoptionReceipt,跨真实组织是否保持
C-02,目标域采纳必须由目标域正式物化,supported_scoped,strong_local_mechanism,single-host Agent World,保留 target-domain adoption primitive,跨技术栈和组织迁移
C-03,authority-first countercondition reduction 能形成边界,supported_scoped,mixed_model_plus_real_probe,一个跨仓技术 bridge,作为 PFE formation policy,跨任务和真实人主体迁移
C-04,A2A 唯一发明最终架构,unknown_weakened,static_baseline_counterevidence,static 获得中心摘要和双仓代码,禁止唯一性表述,matched central formation
C-05,A2A 在形成后日常执行仍有优势,not_supported_scoped,least_privilege_execution_baseline,冻结接口机械运行,默认 deterministic least-priv coordinator,持续开放任务是否例外
C-06,adaptive formation → compiled execution 是一般架构,strong_hypothesis_with_local_instance,one_real_local_instance,固定目标和运行域,实现 reopen triggers 与 boundary compiler,跨主体和持续漂移任务
C-07,Capability Contract 已获得现实跨域实例,supported_scoped,holdout_plus_replay,同协议同环境 synthetic local,保留 environment-indexed technical claim,跨版本环境和真实主体
C-08,开放复核与消融应进入 CRA,supported_local,five_unseeded_reviews_plus_ablations,同模型家族和同根研究者,作为 qualification pipeline,真正独立模型/实现复核
C-09,软件系统本身是 Principal,rejected,conceptual_plus_human_recognition_absence,本实验仅技术政策权威,新增 Principal / SovereignDomain 区分,真实人类主体闭环
C-10,本实验证明人类偏好或商业价值,not_supported,no_human_evidence,synthetic automatic policy,禁止从 Domain Adoption 升级到 Principal Acceptance,现实主体确认
