claim_id,claim_text,claim_type,scope,origin_phase,primary_sources,supporting_evidence,contradicting_evidence,current_status,strongest_alternative
CLM-001,有限静态投影不能成为开放任务中主体未来行动空间的完备定义,IMPOSSIBILITY,开放任务与变化环境,EARLY_PROTOCOL,SRC-PROBLEM-DEFINITION|SRC-ROUND2-PAPER-I,EVD-ROUND2-CONSTITUTION|EVD-R52-CAPABILITY,,STABLE,强模型加高频更新的中心画像在部分任务可能足够
CLM-002,NAC 是跨模型发现的普遍必要接口,ARCHITECTURE,跨模型发现,EARLY_PROTOCOL,SRC-PROTOCOL-DESIGN|SRC-NAC-SPEC,EVD-NAC-DESIGN,,DOWNGRADED,自然语言加任务查询或现有 Agent Card 可能以更低成本达到相同结果
CLM-003,开放协调中角色动作约束和证据规则本身可能需要在互动中形成,THEORY,非标准关系,ROUND2,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II,EVD-ROUND2-CONSTITUTION|EVD-R54-NEGATIVE,,SCOPED,多数 OPC 事项可能已被平台或强中心 Agent 的既有语法覆盖
CLM-004,候选关系不推出主体承诺,SEMANTIC,所有有现实义务的任务,EARLY_LEDGER,SRC-TYPED-LEDGER|SRC-R52-PATCH,EVD-R5-LOCAL|EVD-R52-EFFECT,,STABLE,无
CLM-005,当前不可行不推出改变工具伙伴权限或任务结构后仍不可行,THEORY,可构造的低对抗任务,ROUND2,SRC-ROUND2-PAPER-I|SRC-R52-CAPABILITY,EVD-R52-CAPABILITY|EVD-R5C-FORMATION,EVD-R54-NEGATIVE,SCOPED,很多失败只是既有路径发现不足或规范澄清而非新能力
CLM-006,更多 Agent 对话本身能形成新现实能力,CAUSAL,跨主体形成,R54,SRC-R54-CORE|SRC-R54-CAUSALITY,,EVD-R54-NEGATIVE,REFUTED,对话能细化条件但形成需要现实 probe 权限资源或目标 readback
CLM-007,环境索引的 Capability Claim 比静态安装标签更能预测执行,EMPIRICAL,当前 Harness 任务族,R52,SRC-R52-CAPABILITY,EVD-R52-CAPABILITY,,SCOPED,在稳定标准任务中静态标签可能足够且维护成本更低
CLM-008,干预后的成功不能证明干预前已有前瞻能力,SEMANTIC,能力形成与 holdout,R52,SRC-R52-CAPABILITY,EVD-R52-CAPABILITY,,STABLE,无
CLM-009,模型置信度和执行能力不产生主体权威,NORMATIVE,有责任与现实副作用的任务,AUTHORITY_REBUILD,SRC-R52-PATCH|SRC-V07-OPC,EVD-R5-LOCAL|EVD-R52-EFFECT,,STABLE,主体可选择广泛委托但仍需可追溯授权
CLM-010,ActionAttempt 不等于目标世界 Effect,EMPIRICAL,Harness 与外部副作用系统,R52,SRC-R52-EFFECT,EVD-R52-EFFECT,,STABLE,在事务型单系统 API 中平台可把二者安全折叠
CLM-011,Effect Adoption Acceptance 不能一般性合并,SEMANTIC,跨系统和跨责任根,R52_R5C,SRC-R52-EFFECT|SRC-R5C-HUMAN,EVD-R52-EFFECT|EVD-R5C-FORMATION,,STABLE,在单权威低风险系统可由一个事务接口实现但语义仍可重建
