case_id,title,domain,primary_revision,dimensions,distinct_authority_functions,external_authority_changed_path,reopen_or_challenge_after_tentative_state,pre_final_real_effect,relation_class_transformation,protective_contraction,data_derivative_issue,identity_authority_failure,evidence_gate_failure,subjective_acceptance_observed,agent_mediated_causality_observed,comparable_net_surplus_observed
PEA-01,LinkedIn–Microsoft：多方探索经委员会、董事会与股东批准成为可交割关系,corporate_transaction,EXPANSION,"A,O,R,T",1,0,0,0,1,0,0,0,0,0,0,0
PEA-02,Red Hat–IBM：既有合作、替代结构与并购风险分配的演化,corporate_transaction,TRANSFORMATION,"A,O,R,T",1,0,0,0,1,0,0,0,0,0,0,0
PEA-03,Twitter–Musk：签署、信息访问、终止争议与强制履行,corporate_transaction,EPISTEMIC_CLARIFICATION,"A,E,O,T",1,0,1,0,0,0,0,0,0,0,0,0
PEA-04,Spirit–Frontier–JetBlue：竞争方案、访问撤销、预付款与最终终止,corporate_transaction,TRANSFORMATION,"A,D,O,R,T",1,1,1,1,1,1,1,0,0,0,0,0
PEA-05,Microsoft–Activision：禁止原交易后剥离云流媒体权利形成新交易,regulatory_transaction,TRANSFORMATION,"A,D,O,R,T,V",1,1,1,0,1,1,1,0,0,0,0,0
PEA-06,Meta–Giphy：已完成交易被外部权威重开并要求剥离,regulatory_transaction,PROTECTIVE_CONTRACTION,"A,D,E,O,T",1,1,1,1,1,1,1,0,0,0,0,0
PEA-07,Sainsbury’s–Asda：保护性不成交作为有效处置,regulatory_transaction,PROTECTIVE_CONTRACTION,"A,E,O",1,1,0,0,0,1,0,0,0,0,0,0
PEA-08,Deloitte：团队成员移除后能力证据不能静默继承,public_procurement,PROTECTIVE_CONTRACTION,"A,E,O,R",1,1,1,0,0,1,0,0,1,0,0,0
PEA-09,Safal：廉价自我声明不等于有意义的利益冲突验证,public_procurement,PROTECTIVE_CONTRACTION,"A,E,O",1,1,1,0,0,1,0,0,1,0,0,0
PEA-10,FHWA/Walsh：实体歧义使认证、签署与保证责任失效,public_procurement,PROTECTIVE_CONTRACTION,"A,E,O,R",1,1,0,0,0,1,0,1,1,0,0,0
