claim_id,claim,status_before,status_after,evidence_refs,counterevidence_refs,evidence_grade,guarantee_boundary,finding_class,design_delta,next_discriminator
R5C-001,多轮 A2A 能细化既有规范冲突,locally_supported,locally_supported,INPUTS/R5_4_NEGATIVE_CONTROL_SUMMARY.md,,historical_local,单一真实仓库任务与同模型合成主体,mechanism_evidence,无新增,在真实主体和不同任务中复现
R5C-002,R5.4 互动形成了新生产能力,not_supported,not_supported,,INPUTS/R5_4_NEGATIVE_CONTROL_SUMMARY.md,historical_strong,无采纳无接受无可复用能力,mechanism_evidence,旗舰任务必须赋予现实条件形成权,选择具有条件形成权的任务并做消融
R5C-003,least-privilege central 在可折叠工程任务中应为强基线,supported_local,supported_local,INPUTS/R5_4_NEGATIVE_CONTROL_SUMMARY.md,,historical_local,源码 identity 可折叠任务,transferable_design_principle,中心方案必须认真竞争,在真实不可折叠任务中公平比较
R5C-004,静态能力描述足以支持生成式协调,unsupported_general,unsupported_general,,INPUTS/R5_4_NEGATIVE_CONTROL_SUMMARY.md,historical_local,静态 Agent 找到缺陷但未解决价值冲突,mechanism_evidence,区分发现与形成,测试静态描述无法发现的联合能力
R5C-005,通爻需要一套协调决策方法,strong_hypothesis,strong_hypothesis,INPUTS/01_CURRENT_SYSTEM_v0.7.2.md,,theory_only,尚无现实支持的方法,product_design_delta,本轮直接检验询问行动与边界策略,运行真实 formation episode
R5C-006,权威边界先于 receipt schema 能形成可执行下一路径,untested,exploratory_supported,FORMATION_EPISODES/R5C-EP-001/ROUND_03_ALIGNMENT.md,FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_01.md,model_plus_local_defeater,尚未形成有效跨系统路径,mechanism_evidence,反条件删除了无依据字段但 source authority 仍需现实形成,修复 consumer persistence 和线性化后消融该互动
R5C-007,Allbuddy 第一版 consumer ledger 可作为 World authoritative source,untested,defeated_local,SOURCE_PATCHES/ALLBUDDY_1a70fb5_to_6e55534.patch;FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_01.md,FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_01.md,independent_concurrency_repro,单机本地实现,mechanism_evidence,readback schema 绿灯不能替代 source authority,形成原子 consumer persistence 和可用 reader path
R5C-008,幂等 recovery 与 durable claim/ack 已足以冻结本地 source,untested,defeated_local,FORMATION_EPISODES/R5C-EP-001/ALLBUDDY_IMPLEMENTATION_03.md,FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_03.md,independent_http_ui_fault_repro,单机 synthetic source 且尚无独立 World HTTP consumer,mechanism_evidence,recovery 必须覆盖首次响应 abort 精确重放和 lease ownership,补齐反例后重新开放复核
R5C-009,修复首次响应和 lease 后 combined ProductShell source 可冻结,untested,countered_local,FORMATION_EPISODES/R5C-EP-001/allbuddy_v4_e2e_redacted_readback.json,FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_04.md,independent_http_race_repro,外部 source 可消费但 UI abort 与 canonical adoption 冲突,mechanism_evidence,abort 必须成为 authoritative monotonic decision,形成并消融 cancel/revoke 语义
R5C-010,canonical cancel 与 revision lineage 足以冻结本地 synthetic source,countered_local,supported_local,FORMATION_EPISODES/R5C-EP-001/allbuddy_v5_cancel_race_redacted.json;FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_05.md,,independent_http_restart_repro,仅自动采用策略 24h session 单机 source,product_design_delta,authority delivery 是 source 能力的一部分,由独立 World 实现和消融继续证伪
R5C-011,独立 World 能在不读取 Artifact 的情况下保存 source-scoped consumer report,untested,supported_local,FORMATION_EPISODES/R5C-EP-001/LIVE_CROSS_REPO_EPISODE.md;FORMATION_EPISODES/R5C-EP-001/HOLDOUT_RESULT.md,,real_local_cross_process_plus_holdout,单机 synthetic source 与 local_equivalent_real,product_design_delta,新增 commandless C2 与 stable C4 external-source path,在真实外部 source 和不同协议版本 holdout
R5C-012,producer completed 足以产生 World adoption projection,implicit,defeated_local,,FORMATION_EPISODES/R5C-EP-001/LIVE_CROSS_REPO_EPISODE.md,real_local_ablation,同一 source 且无 consumer decision,mechanism_evidence,producer 与 consumer authority 必须分离,真实 refusal 和 producer failure task
R5C-013,正确 claim authority 与 source-target Viewer binding 是形成路径必要条件,untested,supported_local,FORMATION_EPISODES/R5C-EP-001/LIVE_CROSS_REPO_EPISODE.md;FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_03.md,,real_http_ablation_plus_open_repro,固定 local viewer mapping 与 synthetic bearer,transferable_design_principle,transport authority 和 presentation authority 分别验证,多 viewer 真实身份 holdout
R5C-014,authority-first countercondition reduction 优于静态设计,untested,partially_supported,FORMATION_EPISODES/R5C-EP-001/OPEN_REREVIEW_01.md;FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_03.md,FORMATION_EPISODES/R5C-EP-001/BASELINE_STATIC_RESULT.md,model_episode_plus_independent_defeaters,static 已提出大部分概念架构且未做 matched implementation,mechanism_evidence,A2A 增量是现实 falsification 与削减过度设计而非独有发明,同 pre-state matched central/static implementation
R5C-015,冻结接口后 sovereign A2A 仍优于 least-privilege central,untested,not_supported,FORMATION_EPISODES/R5C-EP-001/BASELINE_CENTRAL_RESULT.md,,independent_read_only_baseline,只比较已形成接口的机械执行,transferable_design_principle,形成与执行应采用不同协调模式,真实运行成本配对
R5C-016,CC-R5C-01 可处理未见 not_adopted task-family holdout,untested,supported_local_holdout,FORMATION_EPISODES/R5C-EP-001/CAPABILITY_CLAIM_FROZEN_BEFORE_HOLDOUT.md;FORMATION_EPISODES/R5C-EP-001/HOLDOUT_RESULT.md,,prospective_single_holdout,同协议同环境单机 synthetic source,mechanism_evidence,负状态和 restart identity 可复用但不得泛化,version environment time holdout
R5C-017,本 episode 证明真实人类偏好或商业价值,not_supported,unknown,,HUMAN_RECOGNITION_AND_VALUE.md,no_human_recognition,ProductShell 自动采用不是人类判断,mechanism_evidence,价值 Claim 与技术 Acceptance 分离,引入真实历史 owner 或真实 consumer
R5C-018,eventId 足以唯一标识 source revision,implicit,defeated_local,,FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_05.md,independent_poll_repro,同一 reference revision 可更换 eventId,mechanism_evidence,source revision identity 必须跨 journal 绑定 eventId 与 readback digest,第四次开放复核和跨版本 holdout
R5C-019,CC-R5C-01 在当前 synthetic local scope 可冻结,COUNTER,supported_local_holdout,FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_07_FINAL.md;FORMATION_EPISODES/R5C-EP-001/HOLDOUT_RESULT.md,FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_03.md;FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_04.md;FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_05.md;FORMATION_EPISODES/R5C-EP-001/WORLD_OPEN_REREVIEW_06.md,iterated_independent_open_rereview,contract schema authorization mapping 和本地 scope 不变,mechanism_evidence,完整 postcondition 与 restart preflight 是 ackable capability 的组成部分,真实外部 source 与 matched central formation
