capability_id,native_research_line,original_problem,distinguishing_case,critical_design_decision,source_ids,original_evidence,later_representation,preservation_status,loss_mechanism,current_owner,required_recovery,confidence,review_notes
CAP-DISC-001,DISCOVERY_BOUNDARY,静态画像不能覆盖任务相关私有世界,完整世界与任务最小投影,投影随任务与风险重算,SRC-PROBLEM-DEFINITION|SRC-NAC-SPEC,"positive:不同任务只需不同事实前缀; removal_failure:静态卡片导致漏条件或过度披露","v0.4 provider; v0.7 local world; v1.1 context/local oracle",TRANSFORMED,原生投影算法降为策略但差异仍可重建,Local World + Context Compiler,补任务族级披露与遗漏回归,MEDIUM,manual_reconstruction=PASS
CAP-DISC-002,DISCOVERY_BOUNDARY,组合表示需要保留角色,角色绑定与无角色相似,角色进入 HDC/FHRR 绑定,SRC-PROTOCOL-DESIGN,"positive:角色和值可组合后解绑定; removal_failure:角色交换仍被判相似","v0.4 optional provider; v0.7/v1.1 无专门承担",PARTIAL,统一接口保留 provider 插槽但角色绑定能力未进入当前运行 Gate,Discovery provider,保留历史实现并建立跨模型角色交换反例,LOW,manual_reconstruction=NOT_REQUIRED
CAP-DISC-003,DISCOVERY_BOUNDARY,不同模型内部表示不可假定等价,共享锚点与共享 embedding,NAC 统一外部 header/facet 而不统一内部表示,SRC-PROTOCOL-DESIGN|SRC-NAC-SPEC,"positive:异构模型以 facet 继续发现; removal_failure:模型升级后向量等价失效","v0.4 provider; v0.7 agent discovery; v1.1 connector",PARTIAL,NAC 名称和字段未成为当前互操作的必需行为,Discovery connector,比较 NAC 与自然语言强模型的真实净增量,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-DISC-004,DISCOVERY_BOUNDARY,一次披露完整方案代价过高,可路由前缀与深层事实,前缀披露受预算和 provenance 控制,SRC-NAC-SPEC,"positive:先 facet 后边界查询; removal_failure:全披露泄密或固定摘要漏配","v0.4 policy; v0.7 mandate/data plane; v1.1 disclosure metrics",PARTIAL,披露原则保留但 prefix/budget 执行未被当前内核拥有,Boundary policy,恢复可执行披露预算与接收范围,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-DISC-005,DISCOVERY_BOUNDARY,主题相似不能表达供需方向,SEEK 与 OFFER,外部信号保留关系方向,SRC-PROTOCOL-DESIGN|SRC-NAC-SPEC,"positive:互补方向形成候选; removal_failure:两个 SEEK 被错误互配","v0.4 无明确 root; v0.7/v1.1 由 relation role 间接表达",PARTIAL,方向性可在 RelationVersion 重建但 discovery 阶段没有强制字段,Discovery index,恢复发现阶段方向性反例和查询,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-DISC-006,DISCOVERY_BOUNDARY,资料不完整不等于不足以判断,完整披露与任务充分性,BIC 以当前约束的充分信息定义边界,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II,"positive:局部 cut/witness 足以推进; removal_failure:静态表单继续索取或提前承诺","v0.4 Boundary provider; v0.7 formation gate; v1.1 local oracle",TRANSFORMED,从独立理论对象转成运行 Gate,Boundary Oracle,用真实原材料检查何时充分而非仅字段齐全,HIGH,manual_reconstruction=PASS
CAP-DISC-007,DISCOVERY_BOUNDARY,Oracle 自由文本会混淆未知拒绝证据,cut/witness/unknown/refuse,Oracle 返回类型化局部权威响应,SRC-ROUND2-PAPER-II|SRC-ROUND2-PAPER-I,"positive:cut 修改候选且不泄露全集; removal_failure:unknown/refuse 被当授权或全局否定","v0.4 provider; v0.7 boundary stage; v1.1 Boundary Oracle role",PARTIAL,角色存在但 typed response 和本地 authority 未在六 roots 中完整强制,Boundary Oracle runtime,恢复类型化响应 Schema 与错误提升测试,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-REL-001,RELATION_CONSTITUTION,固定任务语法不能表达关系本身形成,参数变化与 Schema 变化,角色动作权威证据退出路径可版本化变化,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II,"positive:数据上传改为买方域执行; removal_failure:制度变化被当字段更新继续陈旧执行","v0.4 RelationVersion content; v0.7 Relation Schema; v1.1 material-change logic",PARTIAL,v0.7 恢复操作定义但从原始输入推断 materiality 仍未证明,Relation Workspace,执行 Q4 冷启动 Router/materiality 评估,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-REL-002,RELATION_CONSTITUTION,版本修改会污染旧认领,当前提案与精确认领版本,material change 产生新版本且不继承 Stance,SRC-TYPED-LEDGER|SRC-R52-PATCH,"positive:只认领 no-training v2; removal_failure:原则同意被套用到后续版本","v0.4/v0.7/v1.1 RelationVersion canonical root",PRESERVED,无,RelationVersion + exact-version Stance,维持陈旧版本阻断回归,HIGH,manual_reconstruction=PASS
CAP-REL-003,RELATION_CONSTITUTION,共同对象不能抹平多方来源,中心摘要与多作者范围认领,JAA 保存来源条件未决项和局部 Stance,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II,"positive:技术数据业务分别认领; removal_failure:统一摘要吞掉异议与范围","v0.4 JAA mapped to RelationVersion; v0.7/v1.1 relation workspace",PARTIAL,版本保留但多作者贡献边和局部可解释性主要依赖事件日志,Relation Workspace + Event Ledger,恢复 contribution edge 与按 Authority 回放,HIGH,manual_reconstruction=NOT_REQUIRED
