record_id,container_path,member_path,nested_depth,size_bytes,compressed_bytes,crc32,sha256,extension,phase,artifact_type,evidence_role,status,duplicate_group
Z000001,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/00_EXECUTIVE_SYNTHESIS.md,0,9952,5144,623d807e,84b85e08dbee2688719e163689845a302db6c667709cdc624d842ed84f881425,md,v0.4-operationalization,orientation,supporting-material,zip-member,D0434
Z000002,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/01_CURRENT_RESEARCH_STATE.md,0,3042,1817,d6fa7639,c237cb079884106c19bc4d9927ccd1f8e7a2f22748b8201b8d95910e0af9be2b,md,v0.4-operationalization,text-source,supporting-material,zip-member,
Z000003,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/02_RESEARCH_CHARTER.md,0,5174,2898,0232b7b7,61d0003c8a8f9000ab7b0baea713248ebcb194aad88d9d5316fab38de4689602,md,v0.4-operationalization,text-source,supporting-material,zip-member,D0311
Z000004,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/CHECKSUMS.sha256,0,10277,4793,90041374,9b3302a281297907942bf9a222002cdbae63d01dff1972636d70a1fd998b397b,sha256,v0.4-operationalization,integrity-metadata,provenance-or-integrity,zip-member,
Z000005,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/MANIFEST.json,0,16577,5359,a228659f,5de72e9452d898be75e48a153aa4208353ef93c8715f6110352a2cd678350025,json,v0.4-operationalization,manifest,provenance-or-integrity,zip-member,
Z000006,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/README.md,0,8475,4450,780f869b,625ec2869c71166f203a9a4e095a2d42f2a776b8053fdd7d28fcaab094c14834,md,v0.4-operationalization,orientation,supporting-material,zip-member,
Z000007,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/evidence/01_全量实验统一重审_v0.4.md,0,17268,8690,ee289e9b,4accaf98341c484a3b2128da241f214d704a2dbd29a76da9a3406726e303fbd2,md,v0.4-operationalization,evidence-or-decision-ledger,supporting-material,zip-member,D0236
Z000008,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/evidence/02_主张证据与Design_Delta总账_v0.4.md,0,4381,2510,aa984095,f5699e06046ea5269991e06380245d92c667a56f87335c5aee6057305e01f34b,md,v0.4-operationalization,evidence-or-decision-ledger,supporting-material,zip-member,D0835
Z000009,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/evidence/03_历史资料来源地图.md,0,3040,1778,673cbafc,e7d2a209d55d692a8871c4b90c0a79b6b91f62ce2b146c27aa1794d7bfce6aac,md,v0.4-operationalization,evidence-or-decision-ledger,supporting-material,zip-member,D0791
Z000010,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/evidence/claim_evidence_ledger.json,0,8199,2893,4adfb817,ec33af6d35c9a67b3de0fe773c88ffde0e1901b773fefdfb484a818115af0994,json,v0.4-operationalization,evidence-or-decision-ledger,supporting-material,zip-member,
Z000011,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/evidence/experiment_ledger.json,0,17072,6184,d8e28275,5757b6c827ff84fc4a27832307e29dcc661946a99d21d40d29cfa60fa4e22110,json,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,
Z000012,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/ontology_reduction/REPORT.md,0,4187,2162,a4a4d919,92113bf744c047a08a0ad62c21c7c6a891ea7a7d05f944c5c3783c87c7004156,md,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0478
Z000013,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/ontology_reduction/results.json,0,16134,1546,51216b06,e43bbb667c49aa67bb8a1bf54d9109095fe6c894774a10e6ba7c266b6961979b,json,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0781
Z000014,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/ontology_reduction/run.log,0,1615,760,251df8bd,c1f89530a6353148297ccbf48eaadb8de83c39035c7cbd70316aa3b01e82e0cc,log,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0640
Z000015,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/ontology_reduction/run.py,0,10223,3150,c29ab5b6,c18cdc523e6fdf64f2b24925e122cacb3c14c8f9cef2e0cd16692c6209f99213,py,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0637
