component_id,component_layer,component_name,capability_ids,source_ids,current_status,notes
CMP-DISCOVERY,KERNEL,Discovery providers,CAP-DISC-001|CAP-DISC-002|CAP-DISC-003|CAP-DISC-004|CAP-DISC-005,SRC-PROTOCOL-DESIGN|SRC-NAC-SPEC,PARTIAL,HDC/NAC 可替换且前缀预算方向性待恢复
CMP-BOUNDARY,KERNEL,Boundary Oracle,CAP-DISC-006|CAP-DISC-007,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II,PARTIAL,充分性转换保留但 typed response 未完整执行
CMP-RELATION,KERNEL,Relation constitution,CAP-REL-001|CAP-REL-002|CAP-REL-003|CAP-REL-004|CAP-REL-005,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II|SRC-V04-ONTOLOGY,PARTIAL,版本和承诺保真但本地 column 已丢失
CMP-FORMATION,KERNEL,Formation planner,CAP-FORM-001|CAP-FORM-002|CAP-FORM-003|CAP-FORM-004|CAP-FORM-005,SRC-R52-CAPABILITY|SRC-R54-CAUSALITY|SRC-R5C-FORMATION,PARTIAL,技术局部形成有证据但真人因果形成开放
CMP-CAPABILITY,KERNEL,Capability assurance,CAP-CAP-001|CAP-CAP-002|CAP-CAP-003|CAP-CAP-004|CAP-CAP-005,SRC-R52-CAPABILITY|SRC-R5C-HOLDOUT|SRC-R5C-SUMMARY,PARTIAL,环境与 readback 强而组合 holdout 部分
CMP-AUTHORITY,KERNEL,Authority runtime,CAP-AUTH-001|CAP-AUTH-002|CAP-AUTH-003|CAP-AUTH-004|CAP-AUTH-005,SRC-TYPED-LEDGER|SRC-V07-OPC|SRC-V11-MONOGRAPH,PARTIAL,核心权威保真且 Standing 部分
CMP-EFFECT,KERNEL,Reality-effect runtime,CAP-EFF-001|CAP-EFF-002|CAP-EFF-003|CAP-EFF-004|CAP-EFF-005,SRC-R52-EFFECT|SRC-R5C-SUMMARY|SRC-R5C-HUMAN,PRESERVED,当前直接证据和跨截点保真度最高
CMP-HARNESS,KERNEL,Harness research runtime,CAP-RUN-001|CAP-RUN-002|CAP-RUN-005,SRC-HARNESS,PARTIAL,需要恢复为独立研究工程内核
CMP-COMPILER,KERNEL,Formation compiler,CAP-RUN-003|CAP-RUN-004,SRC-R5C-METHOD|SRC-R5C-PATCH|SRC-V11-MONOGRAPH,PARTIAL,scoped reopen 可重建但现实复用净值开放
CMP-ROUTER,KERNEL,Coordination router,CAP-RUN-006|CAP-RUN-007,SRC-R54-NET|SRC-V07-OPC|SRC-V11-MONOGRAPH,PARTIAL,条件架构保留但冷启动判断未验证
CMP-IDENTITY,SHARED_INTERFACE,Identity reference,CAP-AUTH-001,SRC-V04-ONTOLOGY|SRC-V07-OPC,PRESERVED,统一引用不统一私有世界
CMP-VERSION,SHARED_INTERFACE,Version reference,CAP-REL-002|CAP-AUTH-003,SRC-V04-ONTOLOGY,PRESERVED,所有 Stance 和 Operation 指向精确版本
CMP-EVENT,SHARED_INTERFACE,Event envelope,CAP-REL-003|CAP-EFF-004|CAP-RUN-005,SRC-V04-ONTOLOGY|SRC-HARNESS,PARTIAL,事件不自动成为正式 Effect
CMP-EVIDENCE,SHARED_INTERFACE,Evidence reference,CAP-CAP-003|CAP-EFF-002|CAP-RUN-005,SRC-R52-EFFECT|SRC-HARNESS,PARTIAL,目标来源强而研究级闭合需恢复
CMP-PROVENANCE,SHARED_INTERFACE,Provenance edge,CAP-DISC-004|CAP-REL-003|CAP-CAP-003,SRC-NAC-SPEC|SRC-V04-ONTOLOGY,PARTIAL,多作者贡献回放不足
CMP-DEPENDENCY,SHARED_INTERFACE,Dependency edge,CAP-CAP-004|CAP-RUN-004,SRC-R5C-PATCH|SRC-V11-MONOGRAPH,TRANSFORMED,作为共享图供 Defeater 和编译引用
CMP-PLATFORM,MECHANISM,Platform or deterministic service,CAP-FORM-005|CAP-RUN-006|CAP-RUN-007,SRC-R54-NET|SRC-V07-OPC,PRESERVED,制度充分时主动旁路重型形成
CMP-CENTRAL-HUB,MECHANISM,Authority-aware central Agent,CAP-AUTH-002|CAP-EFF-001|CAP-RUN-007,SRC-R54-NET|SRC-V11-MONOGRAPH,PARTIAL,Q1 仍需公平真实模型基线
CMP-LOCAL-ORACLE,MECHANISM,Central coordination plus local Oracle,CAP-DISC-006|CAP-DISC-007|CAP-REL-004,SRC-ROUND2-PAPER-II,PARTIAL,需恢复本地 column 与 typed responses
CMP-FEDERATED,MECHANISM,Federated relation,CAP-REL-003|CAP-FORM-002|CAP-AUTH-003|CAP-RUN-007,SRC-R5C-SUMMARY|SRC-V07-OPC,PARTIAL,结构条件清楚但相对中心增量开放
CMP-HUMAN,MECHANISM,Human broker or adjudication,CAP-AUTH-005|CAP-EFF-003|CAP-RUN-006,SRC-R5C-HUMAN|SRC-V07-OPC,PARTIAL,真实经纪和人类 Acceptance 未运行

