claim_id,claim,previous_status,new_status,evidence_grade,scope,evidence_paths,counterevidence,alternative_explanations,design_consequence,next_discriminating_action
R5-LOCAL-C01,"v1.1 包的 checksum 成功不能在当前工作区闭合其 baseline Claim 的原始证据链。",new,supported,E4,"当前 v1.1 本地任务包","runs/r5-run-001-evidence-reachability/outputs/reachability.json; runs/r5-run-001-evidence-reachability/analysis.md","18 个 baseline artifact 路径仅 2 个可达，16 个缺失。","原始制品可能在未随包提供的旧仓库中；路径也可能相对另一根目录。","把 included-file integrity 与 claim-to-artifact reachability 分开验证；本地不得继承历史 evidence grade。","取得缺失原始制品后检查 provenance、语义充分性和复现命令。"
R5-C16,"第五阶段第一现实闭环尚未在用户真实本地工作区和真实 Harness 仓库中复核。",confirmed,qualified-confirmed,E4,"当前工作区环境与任务包","state/ENVIRONMENT_FACTS.json; runs/r5-run-001-evidence-reachability/outputs/reachability.json","当前工作区是真实本地环境，但没有 Harness 实现，且历史闭环原始制品不可达。","本轮可对新的本地执行器语义产生 E4 证据，但不能复核旧闭环全部主张。","将本轮范围限定为当前 workspace/tool-policy 任务族，不把它写成 Harness 产品验证。","在具备 canonical Harness repo 和历史原始轨迹时迁移本轮 effect adapter 检查。"
R5-LOCAL-C02,"Effect 实现与任务接受必须绑定动作对齐的执行结果和权威后置条件；成功文本或复合工具调用的外层退出码不足以证明成功。",new,supported,"E3 + one E4 witness","8 个预声明本地 subprocess case 与 1 个真实 Git workspace trace","runs/r5-run-002-effect-granularity/outputs/summary.json; runs/r5-run-002-effect-granularity/input/actual_workspace_events.json; runs/r5-run-002-effect-granularity/analysis.md","stdout 与 outer exit 的 acceptance accuracy 均为 4/9；最小合同为 9/9。","构造 case 不能估计现实频率；实际 workspace witness 只有一例。","Effect Gateway 应强制 action-aligned result + authoritative postcondition，并让 Acceptance 独立。","迁移到真实 Harness/deploy adapter，注入部分副作用、重试和 rollback 故障。"
R5-LOCAL-C03,"低风险本地动作中急切物化完整对象链没有比最小 effect+verification+acceptance 合同增加判别力。",new,qualified,E3,"本轮 L1 临时目录任务类","runs/r5-run-002-effect-granularity/outputs/minimal_projection.json; runs/r5-run-002-effect-granularity/outputs/eager_full_projection.json; runs/r5-run-002-effect-granularity/outputs/summary.json","两种投影 acceptance accuracy 都为 9/9；eager projection 字节为 3.64 倍。","字节不是完整维护成本；高风险场景中 Authority/Recognition/Commitment/Settlement 可能成为真实决策变量。","采用风险激活物化或派生视图，不把所有对象设为每次 L1 动作必填。","在有真实主体授权、容量和结算的任务做同一消融；若删除对象导致错误则恢复显式状态。"
R5-LOCAL-C04,"静态 CLI/connector 可见性不足以预测当前 executor scope 的可执行行动空间。",new,supported,E4,"当前 macOS seatbelt、Docker、sandbox-exec、Git 与 CodexPro scope","runs/r5-run-003-action-space-claims/input/predictions_before.json; runs/r5-run-003-action-space-claims/outputs/summary.json; runs/r5-run-003-action-space-claims/analysis.md","三个 present-binary holdout 在默认 scope 全部失败；六个含回顾校准 case 的静态 profile 仅 1/6 正确。","样本很小且两个 holdout 共享 sandbox 根因；profile 若显式包含 executor policy 则不再是纯静态画像。","将安装/可见性作为 Discovery fact；Capability Claim 绑定 operation、executor/sandbox、approval path、resource state、version 和 freshness。","跨另一机器或真实 Harness task 预注册 claims，并比较 selective risk、coverage 与 probe cost。"
R5-LOCAL-C05,"明确且窄范围的授权条件在未安装新工具、未缩小任务时真实扩大了可达行动空间。",new,supported,E4,"当前本地 seatbelt 到三个 exact approved commands 的干预","runs/r5-run-003-action-space-claims/outputs/escalated_formation_results.json; runs/r5-run-003-action-space-claims/human_interventions.jsonl","Docker query、sandbox child、canary deny 都由 default-scope 不可达变为 after-approval 可达。","批准同时改变了执行环境，价值来自权限路径而非通爻特有协调；三次审批有人类注意力成本。","把 Authority/approval path 视为能力配置的因果变量，并显式计入协调成本；不把它写成模型自动形成。","用已形成 boundary 运行 sovereign/static/centralized 对照，测量是否值得三次审批成本。"
R5-LOCAL-C06,"BoundaryPolicy 的运行真实性依赖 canonical OS resource identity、compiled enforcement 与对抗 probe，而不是策略文本或 parse success。",new,supported,E3,"macOS sandbox-exec 临时文件边界","runs/r5-run-004-sovereign-workspace/outputs/summary.json; runs/r5-run-004-sovereign-workspace/attempt2-literal-deny/outputs/summary.json; runs/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/summary.json; runs/r5-run-004-sovereign-workspace/analysis.md","attempt 1/2 中任务与签名成功但私有读取全部 allowed；canonicalize /var→/private/var 后相同声明文件 probes 全部 denied。","未隔离 canonical subpath 是否也可工作；结果可能特定于 macOS sandbox namespace。","边界证据必须记录规范路径/namespace、编译规则、runtime principal 和 adversarial read/write probes；单个 canary 不可外推。","在 container/user/service boundary 上重复 dynamic-file、symlink、rename、directory listing 与 TOCTOU bypass review。"
R5-LOCAL-C07,"声明文件范围的 partial-sovereign 流程可在协调器不读声明私有文件时完成真实 packet audit 并拒绝签名后篡改，但当前净成本高于中心化。",new,qualified,"E3 with real workspace data","单机 deterministic roles、actual v1.1 packet、literal declared-file boundary","runs/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/summary.json; runs/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/records.json; runs/r5-run-004-sovereign-workspace/costs.json","中心化与 partial-sovereign 均接受；中心化 247ms/1 process，partial-sovereign 1123ms/4 processes；篡改被 invalid signature 拒绝。","同 OS identity、trusted omniscient test controller、动态私有文件未覆盖、没有强模型或真实隐私价值。","ordinary local audit 默认采用中心化；只有 privacy/attribution value 超过约 876ms、3 processes、审批与维护成本时才用该边界路径。","用独立 OS user/container 与真实组织私有数据价值做 hostile bypass 和 break-even；否则不要升级为 sovereign A2A。"
R5-C05,"主权 A2A 并不免费优于中心化全知系统。","supported current task","supported in new task scope",E3,"actual packet audit under controlled boundaries","runs/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/summary.json; runs/r5-run-004-sovereign-workspace/costs.json","两者完成同一 audit；partial-sovereign cumulative process time 为 central 的 4.54 倍，另有审批和两轮 repair。","未货币化真实隐私、法律和责任价值，因此只能给 break-even 条件。","把 central 作为默认强基线；主权路径需显式隐私/归因最低价值。","在有真实不可集中约束的任务估值 privacy/attribution，再决定是否值得。"
R5-C13,"Recognition 是对精确对象版本的规范动作，不能提供技术可靠性或自动生成权威。","supported","qualified-supported mechanism",E3,"post-signature tamper intervention","runs/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/records.json","报告被修改后 producer signature 无效，validator 拒绝；honest report/verdict exact hash 匹配。","这里是自动脚本签名，不是主体理解或人类 Recognition；可靠性来自签名验证而非认领本身。","保留 exact-content binding，但不要把签名等同知情理解、授权或业务接受。","在人类界面中测试版本差异理解和撤回负担。"
R5-C15,"当前实验没有验证强模型在主权边界下能否稳定产生安全形成算子。",unverified,still-unknown,E3,"本轮所有 boundary role processes","runs/r5-run-004-sovereign-workspace/run.json; reviews/OPEN_REVIEW.md","边界实验角色均为 deterministic Python；唯一强模型是主研究 Agent，未作为被隔离主体接受 holdout。","CodexPro 明确不执行模型/Agent；未请求第二 Codex task 或外部模型，避免伪独立。","不得把本轮 formation/boundary 结果升级为强模型 PFE 证据。","在 dynamic container/user boundary 中预注册 hidden task，让独立 Agent 产生、拒绝和修复形成算子。"
R5-C17,"当前结果不足以证明通爻对真实商业任务产生净正价值。",unverified,qualified-confirmed,E3,"actual packet audit but no commercial value","runs/r5-run-004-sovereign-workspace/costs.json; runs/r5-run-004-sovereign-workspace/analysis.md","partial-sovereign 与 central 同样接受，但运行时约 4.54 倍，另有 6 次审批和两轮 repair。","真实隐私、法律责任和竞争价值均未估值；任务并非商业任务。","普通本地 audit 默认 central；只保留主权路径的 break-even 条件，不宣称净正价值。","选择一个真实不可集中且有验收者的低风险任务，记录主体愿付隐私/归因成本。"
