claim_id,artifact,reachable,resolved_path,sha256,listed_in_packet_manifest
R5-C01,results/integrated_trace/unified_sovereign_trace.json,False,,,False
R5-C02,results/sovereign_combined/summary.json,False,,,False
R5-C03,results/sovereign_combined/summary.json,False,,,False
R5-C04,results/sovereign_combined/traces.json,False,,,False
R5-C05,results/sovereign_combined/summary.json,False,,,False
R5-C06,results/sovereign_combined/summary.json,False,,,False
R5-C07,results/sovereign_combined/summary.json,False,,,False
R5-C08,results/sovereign_combined/traces.json,False,,,False
R5-C09,results/goal_lineage/summary.json,False,,,False
R5-C10,results/goal_lineage/summary.json,False,,,False
R5-C11,towow_kernel/views.py,False,,,False
R5-C12,docs/Towow_A2A_Current_System_v0.5.md,False,,,False
R5-C13,towow_kernel/kernel.py,False,,,False
R5-C14,results/conformance_stress/summary.json,False,,,False
R5-C15,baseline/FIRST_REALITY_CLOSURE.json,True,/Users/nature/通爻协议研究/towow_a2a_round5_codex_local_research_packet_v1.1/baseline/FIRST_REALITY_CLOSURE.json,cb1bcaaa5dc016873777d9c9a5a83059d9baedc1e8f47293b7f79d007160ff01,True
R5-C16,baseline/FIRST_REALITY_CLOSURE.json,True,/Users/nature/通爻协议研究/towow_a2a_round5_codex_local_research_packet_v1.1/baseline/FIRST_REALITY_CLOSURE.json,cb1bcaaa5dc016873777d9c9a5a83059d9baedc1e8f47293b7f79d007160ff01,True
R5-C17,docs/Towow_A2A_Round5_Reality_Research.md,False,,,False
R5-C18,docs/Towow_A2A_Current_System_v0.5.md,False,,,False
