priority_wave,title,relative_path,purpose
1,交接总说明,handoff/01_RESEARCH_HANDOFF_MANUAL.md,建立元问题、当前模型和工作方式
1,三维统一模型,handoff/02_CURRENT_UNIFIED_MODEL_THREE_AXES.md,理解新的统一候选
1,证据与主张状态,handoff/04_EVIDENCE_AND_CLAIM_STATE.md,掌握证据强度与开放假说
1,长篇论文蓝图,handoff/06_FULL_TREATISE_RECONSTRUCTION_BLUEPRINT.md,理解最终成果应是什么
2,短篇统一论文,core_sources/通爻_A2A_统一论文_从主权世界到共同现实.pdf,作为高度压缩入口而非终稿
2,当前概念账本,core_sources/concept_decision_ledger.csv,建立概念种子
2,当前主张账本,core_sources/claim_evidence_register.csv,建立主张种子
3,协议问题定义,full_archive/extracted_sources/通爻协议 设计语料库 v1.5 终包/towow-protocol-design-pack-v1/01-问题定义书_v1.0.md,回到原始元问题
3,协议总体设计,full_archive/extracted_sources/通爻协议 设计语料库 v1.5 终包/towow-protocol-design-pack-v1/02-总体设计书_v1.2.md,理解 NAC/协议早期结构
3,NAC 信号规格,full_archive/extracted_sources/通爻协议 设计语料库 v1.5 终包/towow-protocol-design-pack-v1/07-IF-2_NAC信号格式规格.md,恢复发现算法细节
3,生成结晶层,full_archive/extracted_sources/通爻协议 设计语料库 v1.5 终包/towow-protocol-design-pack-v1/18-B5-M4_生成结晶层详设.md,理解早期生成机制
3,Harness 总纲,full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/01-Harness认知工程总纲.md,理解运行底座
3,实时语义空间,full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/08-实时语义空间与上下文编译器设计.md,理解 Context Compiler/World
3,PRSE 关键修正,full_archive/extracted_sources/PRSE-OS_完整开发包_v0.3-dev_可交接本地团队(1)/PRSE-OS_完整开发包_v0.3-dev/02_DESIGN_PROCESS/03_key_corrections.md,理解方法与证据 Gate
4,同行论文 I,full_archive/extracted_sources/通爻_A2A_第二轮研究_完整研究包(1)/towow_round2_release/papers/论文I_从搜索到行动构成.pdf,理解 Schema/SJAC
4,同行论文 II,full_archive/extracted_sources/通爻_A2A_第二轮研究_完整研究包(1)/towow_round2_release/papers/论文II_边界预言机生成式协调引擎.pdf,理解 Oracle/求解器
5,R5.2 返回摘要,full_archive/extracted_sources/Towow_A2A_R5_2_Harness_Reality_Transfer_Return_Packet_v1.1/return-packet/RETURN_SUMMARY.md,理解真实 Harness 语义压力
5,R5.4 核心实验,full_archive/extracted_sources/towow-a2a-r5-4-return-packet/return-packet/CORE_A2A_EXPERIMENT.md,理解模型协商负对照
5,R5C 返回摘要,full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/RETURN_SUMMARY.md,理解跨技术域形成闭环
5,旗舰实验首席判断,core_sources/旗舰实验首席吸收/01_旗舰实验解释与研究判断.md,理解最新理论边界
