concept,origin,current_layer,theoretical_role,authority_status,main_correction,current_treatment,open_question
Global Profile,早期协议,L1 边界与发现,静态投影/发现索引,非权威,静态画像不完备,保留为基线与失败边界,特定任务何时充分
HDC/FHRR,早期协议,L1 边界与发现,本地组合表示算法,非权威,跨空间与公共语义承担过重,保留为局部表示算法,哪些结构任务仍值得使用
NC/NAC,早期协议,L1 边界与发现,相对坐标与多尺度发现算法,非权威,普适本体主张被限定,完整恢复形式/实验，归入 Discovery,真实模型和任务条件
四动词接口,早期协议,L1-L3 外观,SDK façade,非权威,不足以表达完整生命周期,保留外观并映射正式事件,最终 API 是否仍有价值
类型账本,早期协议,L2/L5,领域 IR / 资源与义务结构,候选/正式取决于 Gate,候选与承诺曾混合,并入 JAA/Commitment IR,如何表示多领域义务
Flowness Harness,Harness 研究,L3-L7,执行与认知工程运行时,事件与 Effect 可权威,不是 A2A 协议但承载其运行,作为操作底座完整展开,与通爻统一 Runtime 边界
PRSE/PRSE-OS,方法研究,贯穿全链,研究/设计质量与演化治理,非业务事实,防止假说过早冻结,作为 Schema/研究治理方法,如何进入自动化研究运行时
BIC/行为边界充分性,第二轮,L1，贯穿全链,任务相关交互边界理论,非权威,替代模糊体边对偶,保留为上位理论,能否形成可操作评估
Boundary Oracle,同行/第二轮,L1-L3,本地 cut/witness/countercondition 接口,本地域 Claim/Evidence 可权威,硬 cut 风险和隐私重建,泛化为边界 Provider,保证等级与查询预算
Coordination Schema,同行/第二轮,L2,共同协调语法,版本对象可权威,开放 Schema 碎片化,保留并加强依赖图,何时独立物化
SJAC,同行/第二轮,L2-L3,问题构成与私有求解理论,非权威,中央目标函数权力风险,保留为理论/特定求解路线,与 JAA/PFE 的统一
JAA,第二轮,L2-L5,共同编辑的联合行动安排,候选 SharedArtifact,对话不能替代共同对象,保留为主介质,成熟度和 Commit 编译
SharedArtifactVersion,统一期,L2-L5,候选共同对象的通用事实类型,候选版本权威,避免各模型维护不同版本,保留为内核对象,类型化子类设计
PFE,第三阶段,L3,可能性形成理论与策略族,不维护正式能力事实,被短篇论文过度降级,恢复为主理论层,通用协调决策方法
VOI,第二/三阶段,L1-L3,信息获取决策,非权威,只适合认识型 Unknown,保留为形成策略组成,与 EVPF 的统一调度
EVPF,第三阶段,L3,状态改变型形成动作价值,非权威,真实成本与价值证据弱,保留为决策目标,现实估计与策略学习
CEGIS,第一/三阶段,L3-L4,反例驱动生成修复,非权威,机械反例范围有限,保留为策略模式,与现实 probe 的接口
CRA,第四阶段,L4,能力兑现/资格化 Pipeline,输出 Claim/Evidence,被短篇论文过度压缩,恢复为主理论层,真实预测力与风险分级
CapabilityEnvelope,第四阶段,L4,能力运行范围视图,派生视图,可能与 Claim 重复状态,保留视图不维护事实,运行调度是否需要独立对象
AssuranceCase,第四阶段,L4,能力审计论证视图,派生视图,论证不能代替证据,保留为解释/审核视图,维护成本与风险级别
RecognitionAction,第二/四阶段,L5,主体精确版本认领,权威事实,模型不能替代主体,保留内核对象,真实人类理解与 UI
AuthorityGrant,第二/四阶段,L0/L5/L6,限定授权,权威事实,概率不能产生权力,保留内核对象,跨平台委托与撤销
Commitment,第一/二阶段,L5,正式义务网络,权威事实,候选计划曾混入承诺,保留内核对象,与 WoWok 中间表示
ResourceReservation,第二/四阶段,L5-L6,稀缺资源和容量占用,权威事实,能力与容量混淆,保留内核对象,并发和跨域资源
LogicalActionKey,第五阶段,L6,现实意图稳定身份,权威操作事实,重试和动作身份混淆,保留内核对象,跨系统幂等语义
ActionAttempt,第五阶段,L6,一次物理执行尝试,权威事实,工具调用与 Effect 混淆,保留内核对象,部分效果与补偿
Effect,第二/五阶段,L6,目标权威世界的状态变化,权威事实,自述成功/退出码假闭环,保留内核对象,异步与跨域效力
DomainAdoptionReceipt,第五阶段,L6,目标技术域正式采纳,技术域权威事实,传输与采纳混淆,保留但不冒充人类接受,跨组织 adoption
Verification,第二/五阶段,L6,规则层核验,权威事实,测试通过被当成价值完成,保留内核对象,Claim-specific Witness
Acceptance,第二/五阶段,L6,有权主体接受目标价值,权威事实,与 Verification/Adoption 混淆,保留内核对象,真实主体研究
Settlement/Dispute,第一/二阶段,L6,效力、结算与救济,权威事实,技术完成后责任悬空,保留内核对象,国内外效力适配
Event Ledger,Harness/第五阶段,L6-L7,追加式状态变化记录,权威事件,事件存在被误当消费者采纳,保留运行底座,分布式和证据供应链
Compiled World,Harness/第二阶段,L7/贯穿界面,权威对象和候选世界投影,派生视图,被短篇论文写得过轻,恢复为系统身体,操作语义与可视化
形成期→确定性运行,R5C,L3-L7,候选运行架构,非单一事实,仅有 scoped 技术域证据,保留候选架构,matched central 与真实主体
Authority-first countercondition reduction,R5C,L3,形成策略,非权威,单实例和局部方法,保留为 PFE 策略,迁移条件
WoWok/Trust Adapter,全程,L5-L6 外部层,下游信任与结算适配,外部权威系统,不应锁定上游本体,保留外部接口,稳定 Commitment IR
