claim_id,主张,类型,当前状态,最强证据,适用范围,未证明内容,设计含义,genealogy_status,target_chapter,design_delta_to_reconstruct
C01,有限非单射静态投影不能保留所有未来任务相关性,形式结论,相对稳定,构造性反例与任务相关充分性理论,开放未来任务族,不排除特定任务的充分静态投影,能力卡只能做发现索引而非完整主体模型,待逐份原始材料补全,待映射,待补全
C02,任务相关动态边界可在有限披露下保持足够决策价值,定义+机制假说,部分支持,信息复杂度/边界充分性定义与合成/局部技术实验,限定任务与可观测边界,通用最优边界策略,协议必须支持交互式查询/本地执行/证据投影,待逐份原始材料补全,待映射,待补全
C03,模型概率与主体权威正交,制度不变量,相对稳定,形式职责分离与真实越权/Recognition反例,所有高后果动作,法律责任的具体实现,高置信永不自动产生授权,待逐份原始材料补全,待映射,待补全
C04,可能性/能力/认领/承诺/执行/接受不可混合,语义不变量,强支持,状态机反例/真实Harness轨迹/目标域采用实验,当前统一内核,各行业的最简对象组合,保留分离的权威事件但风险触发物化,待逐份原始材料补全,待映射,待补全
C05,Producer completion 不等于 target-domain adoption,机制结论,scoped strong,Allbuddy→Agent World 跨仓/跨进程 episode 与消融,单机固定协议技术域,真实人的业务接受/跨组织生产,需要目标域 canonical commit 与 adoption receipt,待逐份原始材料补全,待映射,待补全
C06,主张证据必须按 Claim 类型解释,机制+设计结论,强支持,Harness readback/false ack/portable evidence 反例,技术事实与能力 Claim,所有社会/法律主张的通用 WitnessPolicy,内核支持 Claim-specific WitnessPolicy,待逐份原始材料补全,待映射,待补全
C07,能力是环境/任务/权威/资源/恢复条件下的可达性而非标签,理论+机制,部分支持,合成形成实验与真实环境权限/依赖 holdout,软件工程技术能力,人的长期社会能力,Capability Claim 必须索引环境与前置条件,待逐份原始材料补全,待映射,待补全
C08,形成后一次成功不能自动升级为可复用能力,统计边界,相对稳定,one-shot 反例/留出失败/环境漂移,非平稳Agent执行,通用校准方法,需要复现/留出/迁移/Defeater/有效期,待逐份原始材料补全,待映射,待补全
C09,互动可以通过现实探针和反条件形成新的技术能力,机制结论,scoped support,R5C 跨技术域 formation episode 与消融,Allbuddy-Agent World 单机固定协议,真实主体联合能力/商业价值,PFE 支持本地 probe/Countercondition/condition formation,待逐份原始材料补全,待映射,待补全
C10,多轮语言谈判本身不足以形成新能力,负边界,strong local,R5.4 source identity 负对照,可折叠价值冲突且无行动权任务,所有谈判场景,实验设计必须赋予条件形成权,待逐份原始材料补全,待映射,待补全
C11,形成期可主权自适应而运行期可编译为最小权限确定性协调器,候选架构,scoped candidate,R5C 单一技术域实例/least-privilege执行,目标/边界/权威稳定的窄域,matched central formation/跨组织普遍性,支持 formation/reopen 与 compiled runtime 分层但不固化为定理,待逐份原始材料补全,待映射,待补全
C12,least-privilege central 在可安全折叠任务中应是严肃基线,架构选择,相对稳定,R5.2/R5.4 本地任务与理论 CollapseSafe,任务充分且权威/隐私/责任可保真,不可折叠主体场景,部署前先判定 CollapseSafe,待逐份原始材料补全,待映射,待补全
C13,主权A2A的必要性来自不可折叠权威/责任/隐私/策略关系而非仅部署分散,理论结论,相对稳定,形式分析与局部对照,跨主体协作,不可折叠性的完整可计算判定,建立折叠边界评估,待逐份原始材料补全,待映射,待补全
C14,Target-domain negative/revocation/offline/dispute 必须是第一类状态,机制结论,scoped strong,R5C rev1/rev2/offline/rev3/restart/open review,本地技术域,跨组织长期语义,协议支持修正/撤回/Unknown/争议,待逐份原始材料补全,待映射,待补全
C15,Evidence portability 需要完整性/可达性/可解释/可重放/相关性,工程与研究不变量,strong local,返回包0/29引用失败后修复29/29,研究与跨节点证据包,大型跨组织证据供应链,证据引用用相对稳定ID/Schema/replay,待逐份原始材料补全,待映射,待补全
C16,Agent互动能帮助真实人形成此前不存在的联合行动路径,核心理论假说,UNKNOWN,尚无两个真实Principal实验,无,偏好形成/权威认领/经济价值,下一现实研究必须以真实人/组织为Principal,待逐份原始材料补全,待映射,待补全
C17,通爻降低高级人类协调认知成本并产生净正机会价值,产品经济假说,UNKNOWN,局部token/进程成本不足,无,经纪人/经理人/顾问对照与机会未发生价值,不能用token成本替代经济价值,待逐份原始材料补全,待映射,待补全
C18,Authority-first countercondition reduction 是一般有效协调方法,算法假说,scoped weak,R5C 单实例方法轨迹,类似跨技术权威任务,跨任务/跨组织/模型异质性,保持为可插拔策略而非协议公理,待逐份原始材料补全,待映射,待补全
C19,NAC 是跨模型发现的普遍基础,旧假说,否定/降级,异构空间模拟与理论边界,特定相对表示任务,普遍互操作,降级为 Discovery Provider,待逐份原始材料补全,待映射,待补全
C20,软件系统可以作为完整Principal,旧假说,否定,理论责任区分与R5C复盘,所有社会协调,技术域局部权威,软件只建模为SovereignDomain,待逐份原始材料补全,待映射,待补全
