record_id,relative_path,size_bytes,sha256,extension,phase,artifact_type,evidence_role,status,duplicate_group
P0002,00_START_HERE/COVERAGE_AND_LIMITATIONS.md,1628,3431768ba16986b9351e2ab76bb81571b33838450964ed3b7b7bd3308e6ac8b3,md,archive-orientation,text-source,supporting-material,current-archive-metadata,
P0003,00_START_HERE/CURRENT_RESEARCH_STATE.md,3230,8af30077f23682fcb96715c885b1579e0b460b1eb8db209d6bb54005fd88719c,md,archive-orientation,text-source,supporting-material,current-archive-metadata,
P0004,00_START_HERE/README.md,2205,b3245bd9fd7d18a11240d8a3a9ce211c59c5540feeb6f110245dc2ecf58f0c38,md,archive-orientation,orientation,supporting-material,current-archive-metadata,
P0006,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,6076,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,md,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,
P0007,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,2727,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,md,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,
P0008,01_INTERACTIONS_AND_CORRECTIONS/03_CORRECTION_LEDGER.csv,2118,87ef0ee4ce0c998fc17097d252dd1f382e38217eb2a63bd9911507de1188be9d,csv,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,
P0009,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,7164,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,md,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,D0069
P0011,01_INTERACTIONS_AND_CORRECTIONS/raw_exports/Agent-to-Agent 研究重建.txt,17769,a8ad54f2f08481a53da70d088d8c1f817b462e007335b36e77293713d30c4e6d,txt,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,D0558
P0012,01_INTERACTIONS_AND_CORRECTIONS/raw_exports/分支 · 组织AI大脑构建思考.txt,7496,50f35b8a10edbd47ec5f8d7b8804e5b13fa2ea7e9a21605c6e6f4aff128608fe,txt,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,D0257
P0014,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,8255,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,md,interaction-correction,interaction-or-review,direction-change-evidence,current-archive-metadata,
