evidence_id,evidence_type,title,scope,primary_sources,direct_observation,claim_ids,design_impact,evidence_boundary,current_disposition
EVD-NAC-DESIGN,SELF_CONSISTENCY,NAC 与前缀披露设计,早期发现协议,SRC-PROTOCOL-DESIGN|SRC-NAC-SPEC,规格与机制设计可重建,CLM-001|CLM-002,从 HDC 内表示转向外部锚点,没有现实采用与强自然语言基线,保留为原生设计与实现候选
EVD-ROUND2-CONSTITUTION,SELF_CONSISTENCY,第二轮行动空间构成与 Boundary Oracle,合成世界和参考引擎,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II|SRC-ROUND2-README,参考引擎和理论反例支持结构可能性,CLM-001|CLM-003|CLM-005,搜索降为构成后的子程序,同一理论生成问题和评分且无真实 Principal,保留为构造性机制证据
EVD-R5-LOCAL,DECISIONAL_EVIDENCE,R5 本地现实运行,真实仓库和本地执行,SRC-R5-SUMMARY|SRC-R5-DECISION,本地运行暴露权限成本与事实源问题,CLM-004|CLM-009,最小权限中心成为默认且引入目标 readback,作用域局限本地技术环境,保留为设计判别证据
EVD-R52-EFFECT,DECISIONAL_EVIDENCE,R5.2 Effect Reality Reconstruction,17 个真实 Harness 场景,SRC-R52-EFFECT|SRC-R52-PATCH,naive 终态 10/17 错且相同 readback 17/17,CLM-004|CLM-010|CLM-011,催生 Effect Gateway 与权威来源顺序,不是人类 Acceptance 或商业价值证据,核心判别证据
EVD-R52-CAPABILITY,DECISIONAL_EVIDENCE,R5.2 Capability Holdout,6 轴能力判断,SRC-R52-CAPABILITY|SRC-R52-PATCH,环境索引 4/6 对静态 3/6且未过预注册门槛,CLM-001|CLM-005|CLM-007|CLM-008,能力 claim 增加环境权限版本恢复与 holdout,样本小且同一任务族,保留正负结果并限域
EVD-R54-NEGATIVE,NEGATIVE_EVIDENCE,R5.4 真实模型 A2A 负结果,两个合成权威技术主体,SRC-R54-CORE|SRC-R54-CAUSALITY|SRC-R54-NET,条件表达增加但无签署补丁采用且中心 transport 失败,CLM-003|CLM-005|CLM-006|CLM-014,把语言细化与能力形成分离并停止默认 A2A,主体可折叠且强中心基线缺席,核心负结果
EVD-R5C-FORMATION,DECISIONAL_EVIDENCE,R5C 跨技术权威域形成,本地 adapter adoption revoke recovery,SRC-R5C-SUMMARY|SRC-R5C-FORMATION|SRC-R5C-ABLATION|SRC-R5C-HOLDOUT|SRC-R5C-METHOD,目标域 readback 与消融支持局部新路径,CLM-005|CLM-011|CLM-012|CLM-013|CLM-014|CLM-015|CLM-016,引入目标域 Authority Gate 恢复和形成后编译,无真人无商业价值无匹配强中心形成基线,核心局部判别证据
EVD-R5C-HUMAN-LIMIT,NEGATIVE_EVIDENCE,R5C 人类认领与价值边界,真实 Principal 与商业价值,SRC-R5C-HUMAN|SRC-R5C-ABLATION,材料明确没有人类认领和净值证据,CLM-011|CLM-013|CLM-022,阻止把技术 adoption 写成人类 Acceptance,不是对系统无价值的证明,持续保留为强边界
EVD-HARNESS-DESIGN,IMPLEMENTATION_ASSURANCE,Harness 认知工程与证据闭合,长期研究和工程运行,SRC-HARNESS,Problem Design Engineering IR与验证链可在材料中定位,CLM-018,形成 Context Compiler 和 Evidence Closure 能力,设计文档与实现存在不等于全部被当前系统采用,恢复为异构研究运行内核
EVD-V04-ONTOLOGY,SELF_CONSISTENCY,v0.4 六 roots 本体收敛,关系运行时对象,SRC-V04-ONTOLOGY,旧概念可映射到六 roots和派生视图,CLM-018,减少平行事实源,映射由同一理论作者完成且未做旧能力行为回放,作为整合截点而非完备性证据
EVD-V07-SYSTEM,IMPLEMENTATION_ASSURANCE,v0.7 OPC 主权代理操作系统,OPC 全流程与机制组合,SRC-V07-OPC,十二阶段和 Router 在设计层连接各机制,CLM-015|CLM-016|CLM-019|CLM-020|CLM-021,把 A2A 降为条件机制并加入 OPC 范围,构造场景与理论同源,作为系统设计检查点
EVD-V11-IMPLEMENTATION,IMPLEMENTATION_ASSURANCE,v1.1 可执行语义与 Fieldkit,研究参考实现,SRC-V11-MONOGRAPH,六 roots和 Effect Acceptance reopen 在参考实现中有明确位置,CLM-015|CLM-016|CLM-017|CLM-018|CLM-019,提供可执行闭环和实验协议,实现不证明用户维护成本与现实净值,保留为实现保障
EVD-OPC-ARCHIVAL,ARCHIVAL_CALIBRATION,公开 OPC 与制度材料,公开访谈案例和制度过程,SRC-V11-MONOGRAPH,跨规模材料可被 Authority Relation Effect 表示,CLM-021,把 OPC 改写为参数极点而非理论边界,理论导向单编码且非代表性,用于变量发现不估计频率
EVD-OPCBENCH-CI,CI_REGRESSION,OPCBench 与 Router 构造测试,24 个作者构造场景,SRC-V11-MONOGRAPH,实现对作者给定 truth fields 保持预期行为,CLM-020,守住 Router 与 Gate 的实现不退化,出题答题评分同源,降为 CI
EVD-ONTOLOGY-CI,CI_REGRESSION,本体收敛与 materiality 大样本,作者生成器,SRC-V04-ONTOLOGY,实现与定义在生成器范围一致,CLM-018,防止压平事件和 materiality 实现退化,不提供现实频率或外部真值,降为 CI
EVD-V12-RESET,RESEARCH_PLAN,v1.2 决策中心研究程序,下一轮 Q1-Q5,SRC-V12-DECISIONS|SRC-REVIEW-RESET,登记了能改变设计的待决问题,CLM-015|CLM-019|CLM-020|CLM-022,停止新增低信息合成实验并重排 Q1-Q5,没有产生新实验结果,作为计划而非证据

